Building Use Type,Building Use Subtype,Continent,Building Project Type,Floors Above Ground,Total Embodied Carbon PER m2
Non-residential,Health Care,Europe,New,10.5,546.67
Non-residential,Office,Europe,New,20.0,493.44
Non-residential,Office,Asia-Pacific,New,10.5,470.0
Non-residential,Office,Europe,New,3.5,453.53
Non-residential,Office,Asia-Pacific,New,10.5,430.0
Non-residential,Office,Asia-Pacific,New,10.5,420.0
Non-residential,Education,North America,New,3.5,411.0
Non-residential,Office,Asia-Pacific,New,10.5,410.0
Non-residential,Office,Europe,New,3.5,400.14
Non-residential,Education,Europe,New,10.5,399.0
Non-residential,Office,Europe,New,3.5,398.45
Non-residential,Education,North America,New,3.5,381.0
Residential,Other,Europe,New,3.5,353.39
Residential,Other,Europe,New,10.5,321.79
Non-residential,Office,Asia-Pacific,New,10.5,320.0
Non-residential,Office,Europe,New,3.5,309.0
Non-residential,Office,Asia-Pacific,New,10.5,290.0
Non-residential,Office,North America,New,3.5,274.23
Non-residential,Parking,North America,New,3.5,273.82
Residential,Other,Europe,New,10.5,261.34
Non-residential,Office,North America,New,3.5,259.35
Non-residential,Education,North America,New,3.5,259.0
Non-residential,Education,North America,New,3.5,254.0
Non-residential,Parking,North America,New,3.5,244.88
Non-residential,Office,North America,New,10.5,237.0
Non-residential,Office,North America,New,10.5,237.0
Non-residential,Office,North America,New,10.5,237.0
Non-residential,Office,North America,New,10.5,237.0
Non-residential,Office,North America,New,10.5,232.0
Non-residential,Office,North America,New,10.5,232.0
Non-residential,Office,North America,New,10.5,229.89
Non-residential,Office,North America,New,10.5,229.89
Non-residential,Office,North America,New,10.5,225.0
Non-residential,Office,North America,New,10.5,222.0
Non-residential,Public Assembly,North America,New,3.5,209.14
Non-residential,Office,North America,New,10.5,192.0
Non-residential,Office,North America,New,10.5,191.0
Non-residential,Office,North America,New,10.5,191.0
Non-residential,Office,North America,New,10.5,191.0
Non-residential,Office,North America,New,10.5,186.24
Non-residential,Office,North America,New,10.5,185.27
Non-residential,Office,North America,New,10.5,183.0
Non-residential,Office,North America,New,10.5,183.0
Non-residential,Office,North America,New,10.5,181.06
Non-residential,Office,North America,New,10.5,178.54
Non-residential,Office,North America,New,10.5,177.0
Non-residential,Office,North America,New,10.5,177.0
Non-residential,Education,North America,New,3.5,175.05
Residential,Other,North America,New,3.5,172.0
Non-residential,Education,North America,New,3.5,169.44
Residential,Other,North America,New,3.5,156.0
Non-residential,Office,North America,New,10.5,150.23
Residential,Other,North America,New,3.5,149.0
Residential,Other,North America,New,3.5,149.0
Non-residential,Education,North America,New,3.5,144.0
Non-residential,Education,North America,New,3.5,142.05
Non-residential,Office,North America,New,10.5,141.59
Non-residential,Education,North America,New,3.5,140.94
Residential,Other,North America,New,3.5,138.0
Non-residential,Office,North America,New,10.5,136.97
Residential,Other,North America,New,3.5,133.0
Non-residential,Office,Asia-Pacific,New,10.5,130.0
Non-residential,Public Assembly,North America,New,3.5,129.98
Residential,Other,North America,New,3.5,124.0
Residential,Other,North America,New,3.5,122.0
Residential,Other,North America,New,3.5,119.0
Residential,Other,North America,New,3.5,119.0
Residential,Other,North America,New,3.5,115.24
Residential,Other,North America,New,3.5,114.0
Residential,Other,North America,New,3.5,110.0
Residential,Other,North America,New,3.5,109.0
Residential,Other,North America,New,3.5,106.0
Residential,Other,North America,New,3.5,89.11
Residential,Other,North America,New,3.5,87.4
Residential,Other,North America,New,3.5,84.0
Residential,Other,North America,New,3.5,82.0
Residential,Other,North America,New,3.5,80.0
Non-residential,Office,Asia-Pacific,New,10.5,70.0
Non-residential,Office,North America,New,25.0,570.78
Non-residential,Office,North America,New,25.0,570.78
Non-residential,Office,North America,New,25.0,530.19
Non-residential,Office,Europe,New,25.0,516.61
Non-residential,Office,North America,New,25.0,515.1
Non-residential,Office,Europe,New,25.0,501.51
Non-residential,Office,North America,New,25.0,495.58
Non-residential,Office,North America,New,25.0,494.23
Non-residential,Office,Europe,New,25.0,491.04
Non-residential,Office,Europe,New,25.0,491.04
Non-residential,Office,North America,New,25.0,481.45
Non-residential,Office,North America,New,25.0,472.66
Non-residential,Office,North America,New,25.0,472.66
Non-residential,Office,North America,New,25.0,459.71
Non-residential,Office,North America,New,25.0,459.24
Non-residential,Office,Europe,New,25.0,431.26
Non-residential,Office,Europe,New,25.0,426.01
Non-residential,Office,Europe,New,25.0,426.01
Non-residential,Office,North America,New,25.0,422.81
Non-residential,Office,Europe,New,25.0,417.13
Non-residential,Office,North America,New,25.0,405.79
Non-residential,Office,North America,New,25.0,400.34
Non-residential,Office,North America,New,25.0,398.5
Non-residential,Office,Europe,New,25.0,396.13
Non-residential,Office,North America,New,25.0,382.75
Non-residential,Office,Europe,New,25.0,382.61
Non-residential,Office,North America,New,25.0,377.99
Non-residential,Office,Europe,New,25.0,372.07
Non-residential,Office,Europe,New,25.0,355.95
Non-residential,Office,North America,New,25.0,354.42
Non-residential,Office,Europe,New,25.0,353.89
Non-residential,Office,Europe,New,25.0,339.07
Non-residential,Office,Europe,New,25.0,338.83
Non-residential,Office,North America,New,25.0,337.92
Non-residential,Office,Europe,New,25.0,336.76
Non-residential,Office,Europe,New,25.0,309.22
Non-residential,Office,North America,New,25.0,307.52
Non-residential,Office,North America,New,25.0,306.63
Non-residential,Office,North America,New,25.0,304.65
Non-residential,Office,North America,New,25.0,301.89
Non-residential,Office,North America,New,25.0,299.72
Non-residential,Office,North America,New,25.0,294.99
Non-residential,Office,Europe,New,25.0,292.96
Non-residential,Office,Europe,New,25.0,285.46
Non-residential,Office,North America,New,25.0,285.46
Non-residential,Office,Europe,New,25.0,281.66
Non-residential,Office,North America,New,25.0,280.2
Non-residential,Office,North America,New,25.0,276.56
Non-residential,Office,Europe,New,25.0,273.31
Non-residential,Office,Europe,New,25.0,271.33
Non-residential,Office,Europe,New,25.0,270.89
Non-residential,Office,Europe,New,25.0,266.54
Non-residential,Office,Europe,New,25.0,265.63
Non-residential,Office,Europe,New,25.0,264.85
Non-residential,Office,North America,New,25.0,263.09
Non-residential,Office,Europe,New,25.0,262.0
Non-residential,Office,North America,New,25.0,258.18
Non-residential,Office,North America,New,25.0,253.55
Non-residential,Office,North America,New,25.0,253.19
Non-residential,Office,Europe,New,25.0,239.49
Non-residential,Office,Europe,New,25.0,237.61
Non-residential,Office,Europe,New,25.0,233.13
Non-residential,Office,Europe,New,25.0,232.97
Non-residential,Office,Europe,New,25.0,231.73
Non-residential,Education,Asia-Pacific,New,3.5,443.2
Non-residential,Mixed,North America,New,3.5,210.63
Non-residential,Office,North America,New,20.0,172.53
Non-residential,Education,North America,New,3.5,156.25
Non-residential,Office,North America,Renovation,3.5,118.51
Non-residential,Education,North America,Renovation,3.5,98.78
Residential,Multi-family,North America,New,10.5,88.54
Residential,Multi-family,North America,Renovation,10.5,83.78
Residential,Single-family,North America,New,3.5,75.26
Non-residential,Mixed,North America,Renovation,3.5,51.45
Non-residential,Office,North America,Renovation,20.0,49.88
Residential,Multi-family,North America,Renovation,3.5,42.47
Residential,Single-family,North America,Renovation,3.5,32.21
Non-residential,Office,Middle East,New,25.0,579.01
Non-residential,Public Assembly,North America,New,3.5,397.33
Residential,Single-family,North America,New,3.5,244.31
Residential,Single-family,North America,New,3.5,193.29
Residential,Single-family,North America,New,3.5,139.93
Residential,Single-family,North America,New,3.5,106.77
Residential,Multi-family,North America,New,3.5,154.01
Residential,Multi-family,North America,New,3.5,84.58
Non-residential,Other,North America,New,3.5,266.67
Non-residential,Other,North America,New,3.5,258.18
Non-residential,Other,North America,New,3.5,258.0
Non-residential,Other,North America,New,3.5,256.0
Non-residential,Other,North America,New,3.5,253.53
Non-residential,Other,North America,New,3.5,250.91
Non-residential,Other,North America,New,3.5,248.13
Non-residential,Other,North America,New,3.5,245.63
Non-residential,Other,North America,New,3.5,240.0
Non-residential,Other,North America,New,3.5,236.15
Non-residential,Other,North America,New,3.5,233.0
Non-residential,Other,North America,New,3.5,232.73
Non-residential,Other,North America,New,3.5,229.33
Non-residential,Other,North America,New,3.5,228.18
Non-residential,Other,North America,New,3.5,225.45
Non-residential,Other,North America,New,3.5,224.62
Non-residential,Other,North America,New,3.5,222.5
Non-residential,Other,North America,New,3.5,218.13
Non-residential,Other,North America,New,3.5,212.31
Non-residential,Other,North America,New,3.5,210.0
Non-residential,Other,North America,New,3.5,204.55
Non-residential,Other,North America,New,3.5,204.29
Non-residential,Other,North America,New,3.5,202.31
Non-residential,Other,North America,New,3.5,201.33
Non-residential,Other,North America,New,3.5,198.67
Non-residential,Other,North America,New,3.5,195.71
Non-residential,Other,North America,New,3.5,195.0
Non-residential,Other,North America,New,3.5,182.0
Non-residential,Other,North America,New,3.5,178.0
Non-residential,Other,North America,New,3.5,177.14
Non-residential,Other,North America,New,3.5,623.88
Non-residential,Other,North America,New,3.5,274.23
Non-residential,Office,North America,New,3.5,259.57
Non-residential,Other,North America,New,3.5,259.35
Non-residential,Mixed,North America,New,10.5,154.34
Non-residential,Education,North America,New,3.5,905.0
Non-residential,Office,North America,New,3.5,340.29
Non-residential,Office,North America,New,3.5,336.85
Non-residential,Office,North America,New,3.5,248.9
Residential,Single-family,North America,New,25.0,746.64
Non-residential,Lodging,North America,New,25.0,710.91
Non-residential,Education,North America,New,25.0,608.58
Non-residential,Lodging,North America,New,25.0,551.2
Non-residential,Public Assembly,North America,New,25.0,494.32
Non-residential,Lodging,North America,Renovation,25.0,437.51
Non-residential,Public Assembly,North America,New,25.0,363.87
Non-residential,Lodging,North America,New,25.0,240.03
Non-residential,Single-family,North America,New,25.0,150.9
Non-residential,Single-family,North America,New,25.0,113.96
Non-residential,Education,North America,New,25.0,574.12
Non-residential,Education,North America,New,25.0,496.41
Non-residential,Public Assembly,North America,New,25.0,495.51
Non-residential,Education,North America,New,25.0,450.67
Non-residential,Education,North America,New,25.0,435.44
Non-residential,Education,North America,New,25.0,411.89
Non-residential,Education,North America,New,25.0,409.47
Non-residential,Education,North America,New,25.0,342.52
Non-residential,Education,North America,New,25.0,335.82
Non-residential,Education,North America,New,25.0,320.22
Non-residential,Public Assembly,North America,New,25.0,312.53
Non-residential,Education,North America,New,25.0,306.23
Non-residential,Education,North America,New,25.0,297.93
Non-residential,Lodging,North America,New,25.0,282.3
Non-residential,Public Assembly,North America,New,25.0,261.91
Non-residential,Education,North America,New,25.0,232.21
Non-residential,Education,North America,New,25.0,222.19
Non-residential,Education,North America,New,25.0,213.43
Non-residential,Education,North America,New,25.0,196.66
Non-residential,Lodging,North America,New,25.0,131.32
Non-residential,Lodging,North America,New,25.0,117.03
Non-residential,Education,North America,New,25.0,109.11
Non-residential,Education,North America,New,25.0,102.71
Non-residential,Education,North America,New,25.0,79.82
Non-residential,Education,North America,New,25.0,68.81
Residential,Multi-family,Asia-Pacific,New,25.0,926.0
Residential,Multi-family,Asia-Pacific,New,10.5,864.06
Non-residential,Mixed,North America,New,10.5,837.2
Non-residential,Other,Asia-Pacific,New,10.5,803.15
Residential,Multi-family,Asia-Pacific,New,25.0,737.31
Residential,Multi-family,Asia-Pacific,New,25.0,716.09
Residential,Multi-family,Asia-Pacific,New,25.0,703.43
Residential,Multi-family,Asia-Pacific,New,25.0,687.54
Residential,Multi-family,Asia-Pacific,New,25.0,667.98
Residential,Multi-family,Asia-Pacific,New,25.0,657.93
Residential,Multi-family,Asia-Pacific,New,25.0,641.22
Residential,Multi-family,Asia-Pacific,New,20.0,634.21
Residential,Multi-family,Asia-Pacific,New,10.5,629.47
Residential,Multi-family,Asia-Pacific,New,25.0,626.96
Residential,Single-family,Europe,New,3.5,612.0
Non-residential,Education,North America,New,10.5,591.78
Residential,Multi-family,Asia-Pacific,New,10.5,578.24
Non-residential,Mercantile,North America,New,3.5,549.49
Residential,Single-family,Europe,New,3.5,535.0
Non-residential,Mercantile,North America,New,3.5,522.18
Non-residential,Mercantile,North America,New,3.5,517.06
Residential,Multi-family,Asia-Pacific,New,20.0,488.57
Residential,Multi-family,Asia-Pacific,New,25.0,462.0
Non-residential,Mercantile,North America,New,3.5,450.51
Residential,Multi-family,Asia-Pacific,New,25.0,443.0
Residential,Single-family,Europe,New,3.5,405.0
Residential,Single-family,Europe,New,3.5,385.0
Residential,Single-family,Europe,New,3.5,362.07
Non-residential,Mercantile,North America,New,3.5,354.95
Residential,Single-family,Asia-Pacific,New,3.5,326.1
Residential,Multi-family,Europe,New,10.5,314.0
Residential,Multi-family,Europe,New,10.5,314.0
Residential,Single-family,Europe,New,3.5,273.15
Residential,Single-family,Europe,New,3.5,200.0
Non-residential,Education,North America,New,3.5,199.29
Residential,Single-family,Europe,New,3.5,179.03
Residential,Single-family,Europe,New,3.5,170.0
Residential,Single-family,Asia-Pacific,New,3.5,168.9
Non-residential,Single-family,North America,New,3.5,185.89
Non-residential,Single-family,North America,New,3.5,181.18
