Building Use Type,Building Use Subtype,Continent,Building Project Type,Floors Above Ground,Total Embodied Carbon PER m2
Non-residential,Other,North America,New,3.5,367.47
Residential,Multi-family,North America,New,10.5,365.74
Non-residential,Education,North America,New,10.5,363.77
Non-residential,Other,Asia-Pacific,New,10.5,363.71
Non-residential,Other,North America,New,10.5,359.4
Non-residential,Office,Europe,New,10.5,356.64
Non-residential,Office,Asia-Pacific,New,20.0,354.58
Non-residential,Mixed use,Asia-Pacific,New,25.0,351.45
Non-residential,Office,Middle East,New,20.0,349.87
Residential,Multi-family,North America,New,20.0,349.02
Non-residential,Lodging,Europe,New,25.0,345.82
Non-residential,Other,Asia-Pacific,New,3.5,344.79
Non-residential,Office,North America,New,3.5,344.24
Residential,Multi-family,North America,New,25.0,343.97
Residential,Multi-family,North America,New,25.0,341.67
Residential,Multi-family,Asia-Pacific,New,25.0,337.64
Non-residential,Other,Asia-Pacific,New,3.5,336.78
Non-residential,Office,North America,New,25.0,334.13
Non-residential,Education,North America,New,25.0,333.84
Non-residential,Other,Asia-Pacific,New,3.5,333.82
Non-residential,Office,Asia-Pacific,New,10.5,330.38
Residential,Multi-family,North America,New,20.0,329.21
Non-residential,Other,Asia-Pacific,New,3.5,320.76
Non-residential,Office,North America,New,25.0,317.23
Non-residential,Parking,Asia-Pacific,New,3.5,314.93
Non-residential,Office,North America,New,25.0,314.44
Non-residential,Office,North America,New,25.0,313.63
Residential,Multi-family,South America,New,20.0,310.47
Non-residential,Office,North America,New,20.0,310.4
Non-residential,Office,North America,New,10.5,309.79
Residential,Multi-family,Europe,New,20.0,308.56
Non-residential,Lodging,North America,New,10.5,308.43
Non-residential,Office,North America,New,25.0,308.32
Non-residential,Lodging,North America,New,10.5,300.12
Residential,Multi-family,North America,New,10.5,299.21
Residential,Multi-family,North America,New,25.0,296.6
Non-residential,Office,North America,New,20.0,293.19
Non-residential,Other,North America,New,3.5,290.0
Non-residential,Other,Asia-Pacific,New,3.5,287.36
Residential,Multi-family,Europe,New,10.5,284.02
Non-residential,Office,Europe,New,10.5,283.83
Non-residential,Office,Middle East,New,10.5,277.61
Non-residential,Other,North America,New,3.5,277.15
Non-residential,Other,North America,New,3.5,272.6
Non-residential,Other,North America,New,3.5,270.4
Non-residential,Office,North America,New,10.5,254.88
Residential,Multi-family,North America,New,10.5,250.26
Non-residential,Office,North America,New,10.5,248.17
Non-residential,Office,North America,New,3.5,246.64
Non-residential,Education,Asia-Pacific,New,3.5,245.4
Non-residential,Parking,North America,New,3.5,244.25
Non-residential,Office,North America,New,25.0,242.93
Non-residential,Other,Asia-Pacific,New,3.5,242.18
Non-residential,Other,North America,New,3.5,234.87
Non-residential,Education,North America,New,3.5,233.81
Non-residential,Other,North America,New,10.5,225.27
Non-residential,Office,Asia-Pacific,New,3.5,217.14
Non-residential,Office,North America,New,10.5,215.95
Non-residential,Office,North America,New,3.5,212.57
Non-residential,Office,Europe,New,10.5,212.04
Non-residential,Office,North America,New,3.5,182.17
Non-residential,Office,North America,New,20.0,180.02
Non-residential,Other,North America,New,10.5,165.08
Non-residential,Office,North America,New,3.5,129.03
Non-residential,Office,Asia-Pacific,New,10.5,125.47
Non-residential,Public Order and Safety,Europe,New,3.5,793.88
Non-residential,Education,Europe,New,3.5,729.61
Non-residential,Office,Europe,New,3.5,700.0
Non-residential,Office,Europe,Renovation,10.5,672.05
Residential,Other ,Europe,New,10.5,668.33
Residential,Other ,Europe,New,10.5,664.6
Non-residential,Education,Europe,New,10.5,660.88
Non-residential,Office,Europe,New,10.5,657.15
Non-residential,Mercantile,Europe,New,10.5,653.43
Residential,Other ,Europe,New,10.5,649.71
Non-residential,Office,Europe,New,10.5,645.98
Non-residential,Office,Europe,New,10.5,642.26
