Building Project Type,Primary Foundation Type,Primary Ground_Floor Type,Primary Vertical Element Type,Primary Horizontal Element Type,Primary Slab Type,Primary Cladding Type,Primary Heating Type,Primary Cooling Type,Primary Finishes Type,Primary Ventilation Type,Total Embodied Carbon PER m2
New built,Corbels,Ground bearing RC,Other,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,Corbels,Ground bearing RC,Other,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,Corbels,Ground bearing RC,Other,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,Corbels,Other,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,45.741142857142854
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,270.7914394904459
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
