Building Project Type,Primary Foundation Type,Primary Ground_Floor Type,Primary Vertical Element Type,Primary Horizontal Element Type,Primary Slab Type,Primary Cladding Type,Primary Heating Type,Primary Cooling Type,Primary Finishes Type,Primary Ventilation Type,Total Embodied Carbon PER m2
New built,Other,Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,362.0596892886345
New built,Other,Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,362.0596892886345
New built,Other,Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,362.0596892886345
New built,Other,Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,362.0596892886345
New built,Other,Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,362.0596892886345
New built,Other,Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,362.0596892886345
New built,Other,Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,362.0596892886345
New built,Other,Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,362.0596892886345
New built,Other,Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,362.0596892886345
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
New built,Reinforced pads/strips,Suspended,Steel,Steel,Other,Other,Other,Other,Other,Other,235.53956148713056
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
Demolish and new build,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Other,Natural,7.366449511400651
