Building Use Type,Building Use Subtype,Continent,Country,Total Users,Floors Above Ground,Floors Below Ground,Structure Type,Total Embodied Carbon PER m2
Residential,Multi-family house,Asia,China,131.39173358468668,4.0,0.3134252849108491,frame concrete,790.0
Residential,Multi-family house,Asia,China,131.39173358468668,4.0,0.3134252849108491,frame steel,550.0
Residential,Semi-detached,Europe,Finland,582.1467815615827,11.609560275368105,0.7573929342829344,frame wood,1253.0
Residential,Single family house,Oceania,Australia,-38.595707288523926,1.0,0.0,missing,310.0
Residential,Single family house,Oceania,Australia,-38.595707288523926,1.0,0.0,missing,365.0
Residential,Single family house,Oceania,Australia,-0.78570627922565,2.0,0.0,missing,598.9999999999999
Residential,Single family house,Oceania,Australia,-0.78570627922565,2.0,0.0,missing,572.5
Residential,Single family house,Oceania,Australia,-0.78570627922565,2.0,0.0,missing,581.5
Residential,Single family house,Oceania,Australia,-0.78570627922565,2.0,0.0,missing,576.5
Residential,Single family house,Oceania,Australia,-0.78570627922565,2.0,0.0,missing,3808.4999999999986
Residential,Single family house,Oceania,Australia,-47.2704732641242,1.0,0.0,missing,619.5
Residential,Single family house,Oceania,Australia,-47.2704732641242,1.0,0.0,missing,514.5
Residential,Single family house,Oceania,Australia,-0.78570627922565,2.0,0.0,missing,547.5
Residential,Single family house,Oceania,Australia,-0.78570627922565,2.0,0.0,missing,457.5
Residential,Single family house,Oceania,Australia,-47.2704732641242,1.0,0.0,missing,270.0
Residential,Single family house,Oceania,Australia,-47.2704732641242,1.0,0.0,missing,451.0
Residential,Single family house,Oceania,Australia,-47.2704732641242,1.0,0.0,missing,329.0
Non-residential,School and Daycare,South America,Brazil,82.79150952677094,4.0,0.0,missing,3164.5000000000005
Residential,Multi-family house,South America,Brazil,460.0,16.0,0.0,missing,700.0
Residential,Single family house,South America,Brazil,4.0,2.0,0.0,missing,550.0
Residential,Single family house,South America,Colombia,0.7129925947740219,2.0,0.0,missing,837.0000000000001
