target
409.0
338.0
260.0
202.0
17862.0
559.0
488.0
406.0
352.0
509.0
438.0
358.0
302.0
559.0
488.0
406.0
352.0
126.0
484.0
413.0
334.0
277.0
509.0
438.0
358.0
302.0
19.0
135.0
164.0
89.6
219.0
509.0
459.0
388.0
309.0
252.0
251.0
15984.0
709.0
659.0
588.0
504.0
452.0
17862.0
251.0
15984.0
659.0
609.0
538.0
455.0
402.0
17862.0
251.0
15984.0
659.0
609.0
538.0
455.0
402.0
17862.0
219.0
509.0
459.0
388.0
309.0
252.0
82.0
10.0
6.5
10.0
219.0
37.0
509.0
459.0
388.0
309.0
252.0
82.0
6.0
14.0
16.2
4.6
3.1
3.1
13.25
19.5
4.0
6.4
1.8
33.1
7.0
135.0
39.0
58.0
89.6
212.0
78.0
66.0
1688.0
102.5
164.0
61.0
20.2
20.0
73.0
61.0
94.0
13.5
45.2
2.5
56.0
94.0
86.0
97.0
48.0
62.0
46.0
64.50282820000001
9.0
5.8
9.0
53.0
7.0
135.0
39.0
58.0
89.6
212.0
78.0
66.0
1688.0
102.5
164.0
4075.0
4075.0
4375.0
12.6
29.3
14.7
1.9
17.0
219.0
25.0
24.0
29.0
17.0
0.0
3.12
3.2
12.1
14.1
6.3
15.3
9.8
14.0
40.3
7.1
18.7
29.0
13.2
40.0
60.0
80.0
