Building Public ID,Building Type,Building Use,Building Location Region,Building New or Renovation,Building Area in Square Meters,Building Area in Square Feet,Building Storeys,Life Cycle Assessment Year,Life Cycle Assessment Reference Period,Life Cycle Assessment Source Code,Life Cycle Assessment Stages,Life Cycle Assessment Building Scope,Life Cycle Assessment Material Quantity,Embodied Carbon Whole Building Excluding Operational,Embodied Carbon Life Cycle Assessment Area Per Square Meter,Minimum Building Area in Square Meters,Maximum Building Area in Square Meters,Minimum Building Area in Square Feet,Maximum Building Area in Square Feet,Minimum Building Storeys,Maximum Building Storeys
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,B,SFEI,N,5317000,362.42,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,B,SFEI,N,5184000,357.71,9291,18580,100001,200000,7,14
A04,Residential,Other,Europe,New,466 to 929,"5,001 to 10,000 ",1 to 6,2010,40,,AB,SFEI,N,194.51,353.39,466,929,,,1,6
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,B,SFEI,N,5069000,353.14,9291,18580,100001,200000,7,14
A04,Commercial,Warehouse,,New,46452 to 92903,"500,001 to 1 million",1 to 6,2008,30,,D,SFEI,N,19211,350,46452,92903,500001,1000000,1,6
A04,Residential,Other,Europe,New,4646 to 9290,"50,001 to 100,000",7 to 14,2010,50,,AB,SFEI,N,2836.21,321.79,4646,9290,500001,100000,7,14
A04,Residential,Other,,New,2324 to 4645,"25,001 to 50,000",7 to 14,2011,60,,AB,SFEI,N,929.62,320.24,2324,4645,25001,50000,7,14
A04,Commercial,Office,Asia-Pacific,New,2324 to 4645,"25,001 to 50,000",7 to 14,2008,60,,B,SFEI,N,1245,320,2324,4645,25001,50000,7,14
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,21.44,318.5,#NAME?,93,#NAME?,1000,1,6
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,20.21,318.24,#NAME?,93,#NAME?,1000,1,6
A04,,,,New,18581 to 46451,"200,001 to 500,000",1 to 6,2010,40,,AB,S,N,6360.39,318.02,18581,46451,200001,500000,1,6
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5184000,315,9291,18580,100001,200000,7,14
A04,Commercial,Office,Europe,New,9291 to 18580,"100,001 to 200,000",1 to 6,2002,50,,BCD,SFEI,N,4818,309,9291,18580,100001,200000,1,6
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5069000,308,9291,18580,100001,200000,7,14
A04,Commercial,Office,Asia-Pacific,New,2324 to 4645,"25,001 to 50,000",7 to 14,2008,60,,A,SFEI,N,1021,290,2324,4645,25001,50000,7,14
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,20.48,280.59,#NAME?,93,#NAME?,1000,1,6
A04,Commercial,Office,North America,New,4646 to 9290,"50,001 to 100,000",1 to 6,2012,60,,BCD,SFEI,N,1743,274.23,4646,9290,500001,100000,1,6
A04,NonCommercial,Parking,North America,New,930 to 2323,"10,001 to 25,000",1 to 6,2009,,,A,Other,N,265,273.82,930,2323,10001,25000,1,6
