Building Type,Building Use,Building Location Region,Building New or Renovation,Average Building Area in Square Meters,Average Building Storeys,Embodied Carbon Whole Building Excluding Operational
Commercial,Other,Europe,New,6968.0,10.5,2109.88
Residential,Other,Asia-Pacific,New,92903.0,25.0,71458.08
Commercial,Other,North America,New,32516.0,25.0,13236.11
Residential,Other,North America,New,3484.5,3.5,785.89
Commercial,Public Assembly,North America,New,6968.0,3.5,2145.69
Commercial,Public Assembly,North America,New,1626.5,3.5,676.52
Commercial,Office,Asia-Pacific,New,69677.5,10.5,29134.6
Commercial,Other,Asia-Pacific,New,6968.0,20.0,2182.55
Commercial,Public Assembly,North America,New,697.5,3.5,255.82
Residential,Other,Asia-Pacific,New,92903.0,25.0,50653.54
Commercial,Mixed,Middle East,New,32516.0,3.5,8241.6
Commercial,Mixed,North America,New,13935.5,10.5,4377.51
Commercial,Health Care,North America,New,3484.5,3.5,863.97
Residential,Other,North America,New,32516.0,25.0,13100.36
Commercial,Public Assembly,North America,New,13935.5,3.5,5681.58
Commercial,Education,North America,New,6968.0,3.5,2697.7
Commercial,Health Care,North America,New,3484.5,10.5,1170.6
Commercial,Public Assembly,North America,New,6968.0,10.5,2581.03
Commercial,Mixed,North America,New,69677.5,25.0,21850.67
Commercial,Other,Africa,New,92903.0,25.0,68620.0
Residential,Other,North America,New,6968.0,10.5,2097.73
Commercial,Other,North America,New,6968.0,3.5,1770.13
Commercial,Health Care,North America,New,69677.5,3.5,16901.46
Commercial,Education,North America,New,1626.5,3.5,465.04
Commercial,Education,North America,New,3484.5,3.5,972.69
Commercial,Education,North America,New,13935.5,3.5,3971.48
Commercial,Other,North America,New,13935.5,10.5,5226.05
Commercial,Other,North America,New,92903.0,25.0,35050.97
Commercial,Education,North America,New,1626.5,3.5,450.4
Commercial,Office,North America,New,13935.5,3.5,4137.24
Commercial,Education,North America,New,3484.5,3.5,727.74
Commercial,Education,North America,New,6968.0,3.5,1775.32
Commercial,Other,North America,New,13935.5,3.5,3089.38
Commercial,Other,North America,New,92903.0,25.0,30890.05
Commercial,Education,North America,New,6968.0,3.5,1359.26
Commercial,Other,North America,New,13935.5,3.5,4451.83
Commercial,Education,North America,New,6968.0,3.5,1799.68
Commercial,Other,North America,New,32516.0,20.0,9025.9
Residential,Other,North America,New,6968.0,10.5,1259.96
Commercial,Mixed,North America,New,69677.5,25.0,22913.02
Commercial,Other,Asia-Pacific,New,69677.5,10.5,14296.8
Commercial,Other,North America,New,32516.0,3.5,6073.29
Commercial,Public Assembly,North America,New,32516.0,3.5,9587.54
Commercial,Health Care,North America,New,3484.5,3.5,695.05
Commercial,Other,North America,New,69677.5,25.0,14980.25
Residential,Other,Asia-Pacific,New,69677.5,25.0,15133.19
Commercial,Other,North America,New,32516.0,10.5,6221.46
Commercial,Other,North America,New,69677.5,10.5,18237.95
Commercial,Health Care,North America,New,92903.0,10.5,30183.94
Commercial,Health Care,North America,New,1626.5,3.5,248.63
Commercial,Health Care,North America,New,1626.5,3.5,331.76
Commercial,Public Assembly,North America,New,69677.5,10.5,11825.99
Commercial,Public Assembly,North America,New,13935.5,3.5,3893.57
Residential,Other,North America,New,32516.0,25.0,10576.92
Commercial,Education,North America,New,3484.5,3.5,666.79
Commercial,Education,North America,New,6968.0,3.5,1211.87
Commercial,Education,North America,New,13935.5,3.5,2740.75
Commercial,Health Care,North America,New,13935.5,3.5,2933.94
Commercial,Education,North America,New,13935.5,3.5,2472.81
Commercial,Education,North America,New,6968.0,3.5,2124.2
Commercial,Health Care,North America,New,92903.0,25.0,29589.39
Commercial,Public Assembly,North America,New,92903.0,25.0,28102.98
Commercial,Public Assembly,North America,New,69677.5,3.5,11220.72
Commercial,Public Assembly,North America,New,32516.0,10.5,7803.84
Commercial,Education,North America,New,32516.0,3.5,4543.05
Residential,Other,Asia-Pacific,New,13935.5,20.0,4200.8
Commercial,Health Care,North America,New,69677.5,20.0,20920.64
Commercial,Education,North America,New,6968.0,3.5,1713.55
Commercial,Health Care,North America,New,32516.0,3.5,4635.25
Commercial,Education,North America,New,6968.0,3.5,1159.43
Commercial,Other,North America,New,69677.5,20.0,14360.36
Commercial,Office,North America,New,32516.0,3.5,6177.12
Commercial,Health Care,North America,New,32516.0,10.5,4214.93
Commercial,Other,North America,New,92903.0,20.0,25869.54
Commercial,Public Assembly,North America,New,1626.5,3.5,372.86
Commercial,Education,North America,New,13935.5,10.5,2155.86
Commercial,Education,North America,New,3484.5,3.5,634.26
Commercial,Education,North America,New,32516.0,3.5,4888.56
Commercial,Education,North America,New,6968.0,3.5,1637.36
Commercial,Health Care,North America,New,697.5,3.5,117.53
Commercial,Public Assembly,North America,New,69677.5,10.5,9684.27
Commercial,Lodging,North America,New,32516.0,20.0,7826.88
Residential,Other,North America,New,32516.0,20.0,4834.0
Commercial,Other,Asia-Pacific,New,69677.5,3.5,13413.83
Commercial,Other,North America,New,32516.0,3.5,5498.26
Residential,Other,North America,New,32516.0,25.0,4481.7
Commercial,Education,North America,New,1626.5,3.5,210.4
Commercial,Education,North America,New,13935.5,3.5,2865.6
Commercial,Public Assembly,North America,New,69677.5,3.5,12165.55
Commercial,Health Care,North America,New,6968.0,3.5,1079.23
Commercial,Health Care,North America,New,32516.0,10.5,8138.51
Commercial,Education,North America,New,1626.5,3.5,269.14
Residential,Other,North America,New,69677.5,10.5,10909.18
Commercial,Education,North America,New,279.5,3.5,44.71
Commercial,Office,North America,New,32516.0,10.5,6147.41
Commercial,Lodging,North America,New,32516.0,10.5,5130.52
Commercial,Other,North America,New,32516.0,3.5,6398.73
Commercial,Education,North America,New,1626.5,3.5,202.22
Commercial,Mixed,North America,New,69677.5,10.5,10346.16
Commercial,Other,North America,New,32516.0,10.5,4797.41
Commercial,Education,North America,New,32516.0,10.5,4643.15
Commercial,Other,North America,New,32516.0,3.5,5320.99
Commercial,Education,North America,New,13935.5,3.5,1781.99
Commercial,Public Assembly,North America,New,32516.0,25.0,7943.12
Commercial,Other,North America,New,69677.5,10.5,12674.09
Commercial,Other,North America,New,13935.5,3.5,2130.24
Commercial,Other,North America,New,32516.0,10.5,3753.33
Commercial,Education,North America,New,6968.0,3.5,1064.15
Commercial,Health Care,North America,New,13935.5,3.5,2152.8
Commercial,Lodging,North America,New,69677.5,10.5,7234.91
Commercial,Public Assembly,North America,New,6968.0,3.5,885.95
Commercial,Education,North America,New,1626.5,3.5,183.87
Commercial,Education,North America,New,697.5,3.5,120.41
Commercial,Public Assembly,Africa,New,6968.0,3.5,791.51
Commercial,Other,North America,New,13935.5,3.5,2268.0
Commercial,Education,North America,New,1626.5,3.5,132.39
Commercial,Other,North America,New,32516.0,10.5,6177.98
Commercial,Education,North America,New,1626.5,3.5,271.03
Commercial,Education,North America,New,6968.0,3.5,761.09
Commercial,Public Assembly,North America,New,697.5,3.5,108.2
Residential,Other,North America,New,69677.5,20.0,7966.73
Commercial,Public Assembly,North America,New,6968.0,3.5,1140.58
Commercial,Other,North America,New,6968.0,10.5,696.51
Commercial,Health Care,North America,New,6968.0,3.5,985.89
Commercial,Health Care,North America,New,32516.0,3.5,3804.37
Generic,Other,North America,New,3484.5,3.5,460.21
Residential,Other,Asia-Pacific,New,92903.0,20.0,10599.06
Commercial,Office,North America,New,13935.5,3.5,1184.83
Commercial,Education,North America,New,3484.5,25.0,288.96
Commercial,Office,North America,New,3484.5,3.5,360.19
Commercial,Public Assembly,North America,New,32516.0,3.5,2897.82
Commercial,Education,North America,New,32516.0,3.5,1965.5
Commercial,Public Assembly,North America,New,69677.5,3.5,6270.9
Commercial,Office,North America,New,13935.5,3.5,1010.91
Commercial,Education,North America,New,697.5,3.5,72.22
Commercial,Other,North America,New,32516.0,10.5,2023.38
Commercial,Other,North America,New,697.5,25.0,600.0
Commercial,Education,North America,New,1626.5,25.0,2100.0
Commercial,Other,Asia-Pacific,Renovation,697.5,25.0,100.0
Residential,Other,North America,New,3484.5,25.0,1135.0
Commercial,Education,North America,New,279.5,25.0,29.0
Commercial,Education,North America,New,279.5,25.0,119.0
Commercial,Education,North America,New,697.5,25.0,202.0
NonCommercial,Park,North America,New,279.5,25.0,28.0
Commercial,Other,North America,Renovation,3484.5,25.0,139.0
Commercial,Other,North America,Renovation,697.5,25.0,196.0
Commercial,Other,North America,Renovation,279.5,25.0,37.0
Residential,Other,North America,New,46498.0,25.0,65.0
Commercial,Education,North America,New,697.5,25.0,1387.0
Commercial,Education,North America,New,1626.5,25.0,2600.0
Commercial,Education,North America,New,279.5,25.0,268.0
Commercial,Education,North America,New,1626.5,25.0,1234.0
Commercial,Education,North America,New,279.5,25.0,50.0
Commercial,Public Assembly,Africa,New,3484.5,3.5,2417.88
Commercial,Public Assembly,Europe,New,32516.0,10.5,21425.09
Commercial,Office,Europe,New,69677.5,25.0,64791.35
Commercial,Office,Middle East,New,92903.0,25.0,55752.78
Commercial,Office,Europe,New,32516.0,10.5,17442.36
Industrial,Industrial,Europe,New,3484.5,3.5,1442.3
Commercial,Office,Europe,New,3484.5,3.5,1199.16
Commercial,Office,Europe,New,13935.5,3.5,8285.94
Commercial,Health Care,Europe,New,13935.5,10.5,8090.74
Commercial,Office,Europe,New,69677.5,20.0,39869.98
Commercial,Office,Asia-Pacific,New,3484.5,10.5,1674.0
Commercial,Office,Europe,New,3484.5,3.5,1039.86
Commercial,Office,Asia-Pacific,New,3484.5,10.5,1528.0
Commercial,Office,Asia-Pacific,New,3484.5,10.5,1491.0
Commercial,Education,North America,New,6968.0,3.5,1088.62
Commercial,Office,Asia-Pacific,New,3484.5,10.5,1451.0
Commercial,Office,Europe,New,6968.0,3.5,2190.82
Commercial,Education,Europe,New,13935.5,10.5,5785.47
Commercial,Office,Europe,New,6968.0,3.5,2425.74
Commercial,Education,North America,New,6968.0,3.5,1035.55
Residential,Other,Europe,New,697.5,3.5,194.51
Residential,Other,Europe,New,6968.0,10.5,2836.21
Commercial,Office,Asia-Pacific,New,3484.5,10.5,1245.0
Commercial,Office,Europe,New,13935.5,3.5,4818.0
Commercial,Office,Asia-Pacific,New,3484.5,10.5,1021.0
Commercial,Office,North America,New,6968.0,3.5,1743.0
NonCommercial,Parking,North America,New,1626.5,3.5,265.0
Residential,Other,Europe,New,6968.0,10.5,2303.42
Commercial,Office,North America,New,6968.0,3.5,1678.0
Commercial,Education,North America,New,69677.5,3.5,6818.4
Commercial,Education,North America,New,69677.5,3.5,4889.72
NonCommercial,Parking,North America,New,1626.5,3.5,237.0
Commercial,Office,North America,New,32516.0,10.5,10978.08
Commercial,Office,North America,New,32516.0,10.5,9495.81
Commercial,Office,North America,New,32516.0,10.5,10978.08
Commercial,Office,North America,New,32516.0,10.5,9449.48
Commercial,Office,North America,New,32516.0,10.5,9264.2
Commercial,Office,North America,New,32516.0,10.5,9217.88
Commercial,Office,North America,New,69677.5,10.5,9454.12
Commercial,Office,North America,New,69677.5,10.5,9408.01
Commercial,Office,North America,New,69677.5,10.5,9221.63
Commercial,Office,North America,New,69677.5,10.5,9032.88
Commercial,Public Assembly,North America,New,1626.5,3.5,386.91
Commercial,Office,North America,New,32516.0,10.5,9495.81
Commercial,Office,North America,New,32516.0,10.5,8847.31
Commercial,Office,North America,New,32516.0,10.5,9495.81
Commercial,Office,North America,New,32516.0,10.5,8847.31
Commercial,Office,North America,New,69677.5,10.5,9454.12
Commercial,Office,North America,New,69677.5,10.5,9454.12
Commercial,Office,North America,New,32516.0,10.5,9125.24
Commercial,Office,North America,New,32516.0,10.5,9078.92
Commercial,Office,North America,New,6968.0,10.5,1720.39
Commercial,Office,North America,New,6968.0,10.5,1697.02
Commercial,Office,North America,New,69677.5,10.5,9060.94
Commercial,Office,North America,New,69677.5,10.5,9014.82
Commercial,Education,North America,New,6968.0,3.5,935.0
Residential,Other,North America,New,279.5,3.5,75.5
Commercial,Education,North America,New,6968.0,3.5,905.0
Residential,Other,North America,New,279.5,3.5,69.24
Commercial,Office,North America,New,6968.0,10.5,1379.55
Residential,Other,North America,New,279.5,3.5,87.14
Residential,Other,North America,New,279.5,3.5,70.37
Commercial,Education,North America,New,13935.5,3.5,2300.0
Commercial,Education,North America,New,32516.0,3.5,5216.0
Commercial,Office,North America,New,6968.0,10.5,1305.56
Commercial,Education,North America,New,32516.0,3.5,5175.0
Residential,Other,North America,New,279.5,3.5,65.23
Commercial,Office,North America,New,6968.0,10.5,1264.27
Residential,Other,North America,New,279.5,3.5,66.87
Commercial,Office,Asia-Pacific,New,3484.5,10.5,446.0
Commercial,Public Assembly,North America,New,1626.5,3.5,240.45
Residential,Other,North America,New,3484.5,3.5,544.21
Residential,Other,North America,New,3484.5,3.5,538.0
Residential,Other,North America,New,279.5,3.5,77.12
Residential,Other,North America,New,279.5,3.5,63.75
Residential,Other,North America,New,279.5,3.5,75.86
Residential,Other,North America,New,279.5,3.5,60.62
Residential,Other,North America,New,3484.5,3.5,500.29
Residential,Other,North America,New,3484.5,3.5,497.21
Residential,Other,North America,New,279.5,3.5,58.84
Residential,Other,North America,New,279.5,3.5,67.13
Residential,Other,North America,New,3484.5,3.5,427.6
Residential,Other,North America,New,3484.5,3.5,412.3
Residential,Other,North America,New,3484.5,3.5,410.66
Residential,Other,North America,New,3484.5,3.5,399.75
Commercial,Office,Asia-Pacific,New,3484.5,10.5,245.0
Commercial,Office,North America,New,6968.0,10.5,2438.0
Commercial,Office,North America,New,6968.0,10.5,1556.0
Residential,Other,Asia-Pacific,New,279.5,3.5,70.0
Residential,Other,Asia-Pacific,New,279.5,3.5,7.0
Commercial,Office,Asia-Pacific,New,1626.5,10.5,1164980.0
Commercial,Office,Asia-Pacific,New,1626.5,10.5,856.44
Commercial,Office,Asia-Pacific,New,1626.5,10.5,1067.78
Commercial,Office,Asia-Pacific,New,1626.5,10.5,1168.64
Commercial,Office,Asia-Pacific,New,1626.5,10.5,927.22
Commercial,Office,Asia-Pacific,New,1626.5,10.5,1493.8
Commercial,Office,Asia-Pacific,New,6968.0,10.5,6681.82
Commercial,Office,Asia-Pacific,New,32516.0,10.5,17925.96
Commercial,Office,Asia-Pacific,New,1626.5,10.5,1098.8
Commercial,Office,Asia-Pacific,New,1626.5,10.5,1226.45
NonCommercial,Parking,Middle East,New,92903.0,10.5,35300.0
NonCommercial,Parking,Middle East,New,92903.0,10.5,32500.0
Commercial,Health Care,North America,New,69677.5,10.5,3395.0
Commercial,Education,North America,New,13935.5,3.5,215.0
Commercial,Office,North America,New,92903.0,25.0,504501.97
Commercial,Office,North America,New,92903.0,25.0,504501.97
Commercial,Office,North America,New,92903.0,25.0,456900.8
Commercial,Office,Europe,New,92903.0,25.0,444774.39
Commercial,Office,North America,New,92903.0,25.0,444001.47
Commercial,Office,Europe,New,92903.0,25.0,431875.96
Commercial,Office,North America,New,92903.0,25.0,435526.5
Commercial,Office,North America,New,92903.0,25.0,447630.23
Commercial,Office,Europe,New,92903.0,25.0,433341.08
Commercial,Office,Europe,New,92903.0,25.0,433341.08
Commercial,Office,North America,New,92903.0,25.0,423449.08
Commercial,Office,North America,New,92903.0,25.0,415028.54
Commercial,Office,North America,New,92903.0,25.0,415028.54
Commercial,Office,North America,New,92903.0,25.0,415084.78
Commercial,Office,North America,New,92903.0,25.0,407099.7
Commercial,Office,Europe,New,92903.0,25.0,378121.33
Commercial,Office,Europe,New,92903.0,25.0,373397.59
Commercial,Office,Europe,New,92903.0,25.0,373397.59
Commercial,Office,North America,New,92903.0,25.0,383532.72
Commercial,Office,Europe,New,92903.0,25.0,366045.72
Commercial,Office,North America,New,92903.0,25.0,359760.71
Commercial,Office,North America,New,92903.0,25.0,351500.74
Commercial,Office,North America,New,92903.0,25.0,113534.83
Commercial,Office,Europe,New,92903.0,25.0,360080.95
Commercial,Office,North America,New,92903.0,25.0,346373.31
Commercial,Office,Europe,New,92903.0,25.0,338701.2
Commercial,Office,North America,New,92903.0,25.0,331499.93
Commercial,Office,Europe,New,92903.0,25.0,336864.14
Commercial,Office,Europe,New,92903.0,25.0,311878.31
Commercial,Office,North America,New,92903.0,25.0,100934.87
Commercial,Office,Europe,New,92903.0,25.0,313439.59
Commercial,Office,Europe,New,92903.0,25.0,296765.44
Commercial,Office,Europe,New,92903.0,25.0,308578.86
Commercial,Office,North America,New,92903.0,25.0,97620.9
Commercial,Office,Europe,New,92903.0,25.0,96049.65
Commercial,Office,Europe,New,92903.0,25.0,280747.18
Commercial,Office,North America,New,92903.0,25.0,84224.43
Commercial,Office,North America,New,92903.0,25.0,85401.05
Commercial,Office,North America,New,92903.0,25.0,84863.09
Commercial,Office,North America,New,92903.0,25.0,84345.99
Commercial,Office,North America,New,92903.0,25.0,82782.9
Commercial,Office,North America,New,92903.0,25.0,84989.19
Commercial,Office,Europe,New,92903.0,25.0,80099.43
Commercial,Office,Europe,New,92903.0,25.0,81406.69
Commercial,Office,North America,New,92903.0,25.0,78256.02
Commercial,Office,Europe,New,92903.0,25.0,77669.07
Commercial,Office,North America,New,92903.0,25.0,76821.76
Commercial,Office,North America,New,92903.0,25.0,75848.34
Commercial,Office,Europe,New,92903.0,25.0,75966.28
Commercial,Office,Europe,New,92903.0,25.0,75430.13
Commercial,Office,Europe,New,92903.0,25.0,74130.12
Commercial,Office,Europe,New,92903.0,25.0,74334.24
Commercial,Office,Europe,New,92903.0,25.0,72695.86
Commercial,Office,Europe,New,92903.0,25.0,76928.8
Commercial,Office,North America,New,92903.0,25.0,72967.11
Commercial,Office,Europe,New,92903.0,25.0,71723.35
Commercial,Office,North America,New,92903.0,25.0,71614.49
Commercial,Office,North America,New,92903.0,25.0,70359.84
Commercial,Office,North America,New,92903.0,25.0,70416.09
Commercial,Office,Europe,New,92903.0,25.0,66282.93
Commercial,Office,Europe,New,92903.0,25.0,65787.6
Commercial,Office,Europe,New,92903.0,25.0,67442.32
Commercial,Office,Europe,New,92903.0,25.0,64532.05
Commercial,Office,Europe,New,92903.0,25.0,64337.91
NonCommercial,Public Assembly,North America,New,279.5,3.5,170.0
NonCommercial,Public Assembly,North America,New,279.5,3.5,212.0
NonCommercial,Public Order and Safety,North America,New,279.5,3.5,279.0
NonCommercial,Public Order and Safety,North America,New,279.5,3.5,362.0
Residential,Multi-family,Asia-Pacific,New,3484.5,25.0,11651.0
Residential,Multi-family,Asia-Pacific,New,3484.5,25.0,11651.0
Residential,Multi-family,Asia-Pacific,New,3484.5,25.0,11651.0
Residential,Multi-family,Asia-Pacific,New,3484.5,25.0,11651.0
Residential,Multi-family,Asia-Pacific,New,3484.5,25.0,11651.0
Residential,Multi-family,Asia-Pacific,New,3484.5,25.0,11651.0
Commercial,Education,Asia-Pacific,New,697.5,3.5,419.73
Residential,Single-family,Asia-Pacific,New,92903.0,25.0,199.0
Commercial,Mixed,North America,New,1626.5,3.5,3273.18
Commercial,Office,North America,New,32516.0,20.0,32026.61
Commercial,Education,North America,New,6968.0,3.5,3369.74
Commercial,Office,North America,Renovation,13935.5,3.5,9837.12
Commercial,Education,North America,Renovation,6968.0,3.5,8084.08
Residential,Multi-family,North America,New,13935.5,10.5,9162.43
Residential,Multi-family,North America,Renovation,32516.0,10.5,10944.1
Residential,Single-family,North America,New,279.5,3.5,125.66
Commercial,Mixed,North America,Renovation,1626.5,3.5,949.39
Commercial,Office,North America,Renovation,13935.5,20.0,4181.52
Residential,Multi-family,North America,Renovation,6968.0,3.5,1990.24
Residential,Single-family,North America,Renovation,279.5,3.5,46.29
Commercial,Office,Middle East,New,92903.0,25.0,197989.9
Commercial,Public Assembly,North America,New,3484.5,3.5,1265.49
Residential,Single-family,North America,New,279.5,3.5,46826000.0
Residential,Single-family,North America,New,279.5,3.5,37047000.0
Residential,Single-family,North America,New,279.5,3.5,28004000.0
Residential,Single-family,North America,New,279.5,3.5,21367000.0
Residential,Multi-family,North America,New,3484.5,3.5,714283.0
Residential,Multi-family,North America,New,3484.5,3.5,431470.0
Residential ,Other,North America,New,279.5,3.5,40.0
Residential ,Other,North America,New,279.5,3.5,28.4
Residential ,Other,North America,New,279.5,3.5,25.8
Residential ,Other,North America,New,279.5,3.5,38.4
Residential ,Other,North America,New,279.5,3.5,43.1
Residential ,Other,North America,New,279.5,3.5,27.6
Residential ,Other,North America,New,279.5,3.5,39.7
Residential ,Other,North America,New,279.5,3.5,39.3
Residential ,Other,North America,New,279.5,3.5,45.6
Residential ,Other,North America,New,279.5,3.5,30.7
Residential ,Other,North America,New,279.5,3.5,23.3
Residential ,Other,North America,New,279.5,3.5,25.6
Residential ,Other,North America,New,279.5,3.5,34.4
Residential ,Other,North America,New,279.5,3.5,25.1
Residential ,Other,North America,New,279.5,3.5,24.8
Residential ,Other,North America,New,279.5,3.5,29.2
Residential ,Other,North America,New,279.5,3.5,35.6
Residential ,Other,North America,New,279.5,3.5,34.9
Residential ,Other,North America,New,279.5,3.5,27.6
Residential ,Other,North America,New,279.5,3.5,42.0
Residential ,Other,North America,New,279.5,3.5,22.5
Residential ,Other,North America,New,279.5,3.5,42.9
Residential ,Other,North America,New,279.5,3.5,26.3
Residential ,Other,North America,New,279.5,3.5,30.2
Residential ,Other,North America,New,279.5,3.5,29.8
Residential ,Other,North America,New,279.5,3.5,27.4
Residential ,Other,North America,New,279.5,3.5,31.2
Residential ,Other,North America,New,279.5,3.5,27.3
Residential ,Other,North America,New,279.5,3.5,26.7
Residential ,Other,North America,New,279.5,3.5,24.8
Commercial,Other,North America,New,1626.5,3.5,1129.47
Commercial,Other,North America,New,6968.0,3.5,1376.21
Commercial,Office,North America,New,1626.5,3.5,1062.8
Commercial,Other,North America,New,6968.0,3.5,1291.95
Commercial,Mixed,North America,New,6968.0,10.5,1074.81
Commercial,Public Assembly,North America,New,3484.5,3.5,888.0
Commercial,Public Assembly,North America,New,3484.5,3.5,763.0
Commercial,Public Assembly,North America,New,3484.5,3.5,643.0
Commercial,Education,North America,New,3484.5,3.5,2206.0
Commercial,Office,North America,New,3484.5,3.5,2052.41
Commercial,Office,North America,New,3484.5,3.5,2590.98
Commercial,Office,North America,New,3484.5,3.5,2041.32
Commercial,Office,North America,New,3484.5,3.5,2191.06
Residential,Single-family,North America,New,279.5,25.0,184.79
Commercial,Lodging,North America,New,13935.5,25.0,10588.7
Commercial,Education,North America,New,3484.5,25.0,2705.64
Commercial,Lodging,North America,New,13935.5,25.0,6678.35
Commercial,Public Assembly,North America,New,279.5,25.0,190.08
Commercial,Lodging,North America,Renovation,13935.5,25.0,9290.04
Commercial,Public Assembly,North America,New,279.5,25.0,144.85
Commercial,Lodging,North America,New,13935.5,25.0,3468.13
Residential ,Single-family,North America,New,697.5,25.0,125.64
Residential ,Single-family,North America,New,697.5,25.0,100.49
Commercial,Education,North America,New,32516.0,25.0,15895.79
Commercial,Education,North America,New,3484.5,25.0,1911.91
Commercial,Public Assembly,North America,New,32516.0,25.0,23005.0
Commercial,Education,North America,New,6968.0,25.0,2366.49
Commercial,Education,North America,New,6968.0,25.0,2627.88
Commercial,Education,North America,New,1626.5,25.0,747.49
Commercial,Education,North America,New,6968.0,25.0,2302.43
Commercial,Education,North America,New,6968.0,25.0,1612.74
Commercial,Education,North America,New,13935.5,25.0,3199.72
Commercial,Education,North America,New,6968.0,25.0,2699.45
Commercial,Public Assembly,North America,New,13935.5,25.0,3553.48
Commercial,Education,North America,New,6968.0,25.0,1769.06
Commercial,Education,North America,New,13935.5,25.0,4575.46
Commercial,Lodging,North America,New,13935.5,25.0,6574.69
Commercial,Public Assembly,North America,New,32516.0,25.0,4881.84
Commercial,Education,North America,New,13935.5,25.0,2228.55
Commercial,Education,North America,New,6968.0,25.0,1186.5
Commercial,Education,North America,New,13935.5,25.0,2205.25
Commercial,Education,North America,New,32516.0,25.0,3998.57
Commercial,Lodging,North America,New,13935.5,25.0,2031.71
Commercial,Lodging,North America,New,6968.0,25.0,1276.26
Commercial,Education,North America,New,32516.0,25.0,3218.1
Commercial,Education,North America,New,32516.0,25.0,2241.14
Commercial,Education,North America,New,3484.5,25.0,369.75
Commercial,Education,North America,New,3484.5,25.0,170.2
Residential,Single-family,Europe,New,279.5,3.5,281.28
Residential,Multi-family,Asia-Pacific,New,13935.5,25.0,13515.29
Residential,Multi-family,Asia-Pacific,New,3484.5,10.5,3407.0
Commercial,Mixed,North America,New,13935.5,10.5,12200.0
Commercial,Other,Asia-Pacific,New,32516.0,10.5,108791.54
Residential,Multi-family,Asia-Pacific,New,6968.0,25.0,6549.15
Residential,Multi-family,Asia-Pacific,New,6968.0,25.0,6358.73
Residential,Multi-family,Asia-Pacific,New,6968.0,25.0,6266.08
Residential,Multi-family,Asia-Pacific,New,6968.0,25.0,6123.96
Residential,Multi-family,Asia-Pacific,New,13935.5,25.0,6635.83
Residential,Multi-family,Asia-Pacific,New,13935.5,25.0,6532.57
Residential,Multi-family,Asia-Pacific,New,13935.5,25.0,6395.2
Residential,Multi-family,Asia-Pacific,New,3484.5,20.0,11439.83
Residential,Multi-family,Asia-Pacific,New,3484.5,10.5,2482.0
Residential,Multi-family,Asia-Pacific,New,13935.5,25.0,6253.34
Residential,Single-family,Europe,New,46498.0,3.5,52.0
Commercial,Education,North America,New,6968.0,10.5,4657.5
Residential,Multi-family,Asia-Pacific,New,3484.5,10.5,2280.0
Commercial,Mercantile,North America,New,697.5,3.5,322.0
Residential,Single-family,Europe,New,46498.0,3.5,45.6
Commercial,Mercantile,North America,New,697.5,3.5,306.0
Commercial,Mercantile,North America,New,697.5,3.5,303.0
Residential,Multi-family,Asia-Pacific,New,3484.5,20.0,13848.18
Residential,Multi-family,Asia-Pacific,New,13935.5,25.0,7687.99
Commercial,Mercantile,North America,New,697.5,3.5,264.0
Residential,Multi-family,Asia-Pacific,New,13935.5,25.0,6461.95
Residential,Single-family,Europe,New,46498.0,3.5,34.6
Residential,Single-family,Europe,New,279.5,3.5,73.92
Residential,Single-family,Europe,New,279.5,3.5,38.3
Commercial,Mercantile,North America,New,697.5,3.5,208.0
Residential,Single-family,Asia-Pacific,New,46498.0,3.5,16957.2
Residential,Multi-family,Europe,New,3484.5,10.5,-376.0
Residential,Multi-family,Europe,New,3484.5,10.5,-376.0
Residential,Single-family,Europe,New,46498.0,3.5,19.86
Residential,Single-family,Europe,New,279.5,3.5,38.4
Commercial,Education,North America,New,6968.0,3.5,42691.68
Residential,Single-family,Europe,New,46498.0,3.5,8.8
Residential,Single-family,Europe,New,279.5,3.5,32.64
Residential,Single-family,Asia-Pacific,New,46498.0,3.5,8782.8
Residential,Multi-family,Europe,New,1626.5,3.5,229.24
Residential,Multi-family,Europe,New,1626.5,3.5,234.82
Residential,Multi-family,Europe,New,1626.5,3.5,221.9
Residential,Multi-family,Europe,New,1626.5,3.5,214.46
Residential,Multi-family,Europe,New,1626.5,3.5,235.97
Residential,Multi-family,Europe,New,1626.5,3.5,193.3
Residential,Multi-family,Europe,New,1626.5,3.5,181.86
Residential,Multi-family,Europe,New,1626.5,3.5,230.5
Residential,Multi-family,Europe,New,1626.5,3.5,154.08
Commercial,Mixed,Europe,New,69677.5,3.5,140000.0
Commercial,Education,North America,Renovation,6968.0,3.5,34333.92
Commercial,Education,North America,New,6968.0,3.5,3884.03
Commercial,Education,North America,Renovation,6968.0,3.5,25633.8
Commercial,Education,North America,Renovation,6968.0,3.5,17104.85
Commercial,Education,North America,Renovation,6968.0,3.5,8575.91
Commercial,Education,North America,Renovation,6968.0,3.5,2839.03
Commercial,Education,North America,New,6968.0,3.5,36145.1
Commercial,Education,North America,New,6968.0,3.5,27444.98
Commercial,Education,North America,New,6968.0,3.5,18156.09
Commercial,Education,North America,New,6968.0,3.5,12185.74
Commercial ,Office,North America,New,32516.0,3.5,3860.0
Commercial ,Office,North America,New,32516.0,3.5,4070.0
Commercial,Office,North America,New,13935.5,10.5,6328.57
Commercial,Office,North America,New,13935.5,10.5,6349.11
