Building Type,Building Use,Building Location Region,Building New or Renovation,Average Building Area in Square Meters,Average Building Storeys,Embodied Carbon Whole Building Excluding Operational
Residential,Multi-family,Asia-Pacific,New,32516.0,3.5,510.08
Residential,Multi-family,Asia-Pacific,New,3484.5,10.5,508.7
Residential,Multi-family,Asia-Pacific,New,69677.5,25.0,507.88
Residential,Multi-family,Asia-Pacific,New,6968.0,10.5,505.64
Commercial,Office,Asia-Pacific,New,92903.0,25.0,493.66
Residential,Multi-family,North America,New,32516.0,25.0,494.99
Commercial,Office,Asia-Pacific,New,69677.5,20.0,505.14
Commercial,Other,Asia-Pacific,New,32516.0,25.0,493.48
Commercial,Lodging,Asia-Pacific,New,69677.5,25.0,501.7
Residential,Multi-family,North America,New,69677.5,20.0,495.34
Residential,Multi-family,Asia-Pacific,New,32516.0,25.0,479.89
Commercial,Other,North America,New,6968.0,3.5,496.26
Commercial,Office,Asia-Pacific,New,92903.0,25.0,465.87
Commercial,Office,Europe,New,32516.0,10.5,582.73
Commercial,Office,North America,New,69677.5,10.5,483.64
Commercial,Other,Asia-Pacific,New,32516.0,3.5,456.99
Commercial,Other,North America,New,13935.5,3.5,459.71
Commercial,Office,Asia-Pacific,New,69677.5,25.0,450.49
Commercial,Education,North America,New,13935.5,3.5,452.68
Commercial,Lodging,Asia-Pacific,New,69677.5,20.0,434.29
Commercial,Other,North America,New,13935.5,3.5,433.19
Residential,Multi-family,North America,New,32516.0,10.5,482.28
Commercial,Education,North America,New,32516.0,10.5,450.66
Commercial,Other,Asia-Pacific,New,92903.0,10.5,459.44
Commercial,Other,North America,New,69677.5,10.5,458.4
Commercial,Office,Europe,New,13935.5,10.5,440.55
Commercial,Office,Asia-Pacific,New,13935.5,20.0,448.38
Commercial,Mixed use,Asia-Pacific,New,92903.0,25.0,443.63
Commercial,Office,Middle East,New,69677.5,20.0,453.41
Residential,Multi-family,North America,New,32516.0,20.0,435.03
Commercial,Lodging,Europe,New,69677.5,25.0,418.3
Commercial,Other,Asia-Pacific,New,13935.5,3.5,399.2
Commercial,Office,North America,New,6968.0,3.5,395.53
Residential,Multi-family,North America,New,92903.0,25.0,426.27
Residential,Multi-family,North America,New,32516.0,25.0,434.42
Residential,Multi-family,Asia-Pacific,New,69677.5,25.0,437.6
Commercial,Other,Asia-Pacific,New,32516.0,3.5,383.18
Commercial,Office,North America,New,32516.0,25.0,404.09
Commercial,Education,North America,New,32516.0,25.0,426.59
Commercial,Other,Asia-Pacific,New,32516.0,3.5,432.74
Commercial,Office,Asia-Pacific,New,13935.5,10.5,422.99
Residential,Multi-family,North America,New,32516.0,20.0,426.79
Commercial,Other,Asia-Pacific,New,13935.5,3.5,395.87
Commercial,Office,North America,New,69677.5,25.0,407.74
Commercial,Parking,Asia-Pacific,New,32516.0,3.5,379.02
Commercial,Office,North America,New,92903.0,25.0,394.48
Commercial,Office,North America,New,69677.5,25.0,414.77
Residential,Multi-family,South America,New,32516.0,20.0,389.67
Commercial,Office,North America,New,69677.5,20.0,349.88
Commercial,Office,North America,New,32516.0,10.5,381.22
Residential,Multi-family,Europe,New,69677.5,20.0,386.53
Commercial,Lodging,North America,New,32516.0,10.5,386.06
Commercial,Office,North America,New,92903.0,25.0,389.57
Commercial,Lodging,North America,New,32516.0,10.5,378.23
Residential,Multi-family,North America,New,13935.5,10.5,387.69
Residential,Multi-family,North America,New,69677.5,25.0,358.06
Commercial,Office,North America,New,32516.0,20.0,367.79
Commercial,Other,North America,New,69677.5,3.5,317.25
Commercial,Other,Asia-Pacific,New,3484.5,3.5,359.02
Residential,Multi-family,Europe,New,13935.5,10.5,356.56
Commercial,Office,Europe,New,69677.5,10.5,357.83
Commercial,Office,Middle East,New,13935.5,10.5,354.88
Commercial,Other,North America,New,69677.5,3.5,368.07
Commercial,Other,North America,New,3484.5,3.5,312.32
Commercial,Other,North America,New,32516.0,3.5,345.69
Commercial,Office,North America,New,92903.0,10.5,301.23
Residential,Multi-family,North America,New,32516.0,10.5,325.03
Commercial,Office,North America,New,69677.5,10.5,297.97
Commercial,Office,North America,New,6968.0,3.5,288.04
Commercial,Education,Asia-Pacific,New,32516.0,3.5,270.16
Commercial,Parking,North America,New,32516.0,3.5,307.82
Commercial,Office,North America,New,69677.5,25.0,307.1
Commercial,Other,Asia-Pacific,New,13935.5,3.5,315.59
Commercial,Other,North America,New,13935.5,3.5,317.35
Commercial,Education,North America,New,13935.5,3.5,266.05
Commercial,Other,North America,New,32516.0,10.5,287.09
Commercial,Office,Asia-Pacific,New,13935.5,3.5,281.03
Commercial,Office,North America,New,13935.5,10.5,272.29
Commercial,Office,North America,New,32516.0,3.5,277.24
Commercial,Office,Europe,New,32516.0,10.5,260.45
