Project_Type,Building_Use_Type,Building_Use_Subtype,Continent,Country,City,Gross_Floor_Area,Total_Users,Floors_Above_Ground,Floors_Below_Ground,Structure_Type,Roof_Type,Mass_Wood,Mass_Straw_Hemp,Mass_Fungi,Mass_Brass_Copper,Mass_Earth,Mass_Bamboo,Mass_Glass,Mass_Stone,Mass_Stone_Wool,Mass_Ceramics,Mass_Metals,Mass_Plastics,Mass_Steel_Reinforcement,Mass_EPS_XPS,Mass_Aluminium,Mass_Concrete_Without_Reinforcement,Mass_Other,Mass_Concrete_With_Reinforcement,Mass_Cement_Mortar,Total_Carbon
New construction,Residential,missing,Europe,Switzerland,Zurich,5791.336367086153,163.88301399060168,3.0,1.0,frame wood,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99550.0,0.0,1044180.0,141880.0,0.0
New construction,Residential,missing,Europe,Switzerland,Zurich,5791.336367086153,163.88301399060168,3.0,1.0,massive wood,Flat roof,51380.0,0.0,0.0,0.0,90500.0,0.0,0.0,98060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886110.0,221720.0,0.0
New construction,Residential,missing,Europe,Switzerland,St Gallen,5791.336367086153,163.88301399060168,3.0,1.0,massive wood,Gable or saddle roof,50270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9910.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,29790.0,331990.0,0.0,0.0
New construction,Residential,missing,Europe,Switzerland,Zürich,5791.336367086153,163.88301399060168,3.0,1.0,massive brick,Gable or saddle roof,4010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462180.0,964530.0,0.0,0.0
New construction,Residential,missing,Europe,Switzerland,Bern,5791.336367086153,163.88301399060168,3.0,1.0,massive brick,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,42460.0,0.0,0.0,153790.0,0.0,0.0,0.0,14180.0,0.0,0.0,0.0,2798830.0,29050.0,0.0
New construction,Residential,missing,Europe,Switzerland,Lucerne,7893.856434378721,235.58220029063287,2.0,2.0,massive wood,Flat roof,111350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11260.0,0.0,0.0,13590.0,0.0,0.0,0.0,1727570.0,0.0,0.0
New construction,Non-residential,Office,Europe,Austria,Lustenau,7665.879641092336,185.15336166036738,6.0,0.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200873.92,0.0,0.0,0.0,0.0,0.0,2554170.1,272621.0,0.0,443349.62,93779.26094269611
New construction,Non-residential,Office,North America,USA,Pacific Northwest,14715.0,600.4744734753797,8.0,3.0,frame wood,Flat roof,974050.0,0.0,0.0,0.0,0.0,0.0,317902.0,0.0,0.0,0.0,0.0,0.0,408133.0,0.0,0.0,7764400.0,625969.0,0.0,0.0,98149.05
New construction,Non-residential,Office,North America,USA,Pacific Northwest,14715.0,600.4744734753797,8.0,3.0,frame wood,Flat roof,1607650.0,0.0,0.0,0.0,0.0,0.0,317902.0,0.0,0.0,0.0,0.0,0.0,408133.0,0.0,89772.0,7764400.0,0.0,0.0,0.0,96383.25
New construction,Non-residential,Office,North America,USA,Pacific Northwest,14715.0,600.4744734753797,8.0,3.0,frame concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,317902.0,0.0,0.0,0.0,0.0,0.0,821723.0,0.0,89772.0,14562950.0,112249.0,0.0,0.0,132582.15
New construction,Residential,Multi-family house,North America,Canada,Quebec,2160.0,116.74527103230122,4.0,0.28798126564936677,massive wood,missing,226185.64,0.0,0.0,0.0,0.0,0.0,0.0,5867.72,0.0,78730.34,0.0,0.0,6018.95,0.0,0.0,533085.75,0.0,0.0,0.0,9504.0
New construction,Residential,Single family house,Asia,South Korea,Seoul,110.0,4.0,1.0,0.22691131029259914,frame wood,Gable or saddle roof,27210.0,0.0,0.0,0.0,0.0,0.0,0.0,151120.0,0.0,163810.0,0.0,0.0,30.0,0.0,0.0,90839.0,0.0,0.0,0.0,8761.499999999993
missing,Residential,Multi-family house,Europe,Finland,missing,1243.0,44.09874151517144,3.0,0.0,frame wood,Gable or saddle roof,1815000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,0.0,150000.0,0.0,580000.0,139000.0,0.0,0.0,2411.42
missing,Residential,Multi-family house,Europe,Finland,missing,1243.0,44.09874151517144,3.0,0.0,frame wood,Gable or saddle roof,1601000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860000.0,0.0,0.0,0.0,0.0,150000.0,0.0,1340000.0,91000.0,0.0,0.0,3654.42
missing,Residential,Multi-family house,Europe,Finland,missing,1243.0,44.09874151517144,3.0,0.0,frame concrete,Gable or saddle roof,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670000.0,0.0,70000.0,0.0,0.0,370000.0,0.0,0.0,0.0,1870000.0,0.0,4338.070000000001
missing,Residential,Multi-family house,Europe,Finland,missing,1243.0,44.09874151517144,3.0,0.0,frame concrete,Gable or saddle roof,142000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,550000.0,0.0,0.0,0.0,0.0,300000.0,0.0,2100000.0,0.0,0.0,0.0,5021.72
missing,Residential,Multi-family house,Europe,Finland,missing,1243.0,44.09874151517144,3.0,0.0,massive brick,Gable or saddle roof,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000.0,390000.0,0.0,0.0,0.0,370000.0,0.0,1470000.0,0.0,0.0,0.0,5170.88
missing,Residential,Multi-family house,Europe,Finland,missing,1243.0,44.09874151517144,3.0,0.0,frame steel,Gable or saddle roof,164000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,670000.0,0.0,0.0,370000.0,0.0,860000.0,0.0,0.0,0.0,3057.7799999999997
New construction,Residential,Multi-family house,Asia,China,Beijing,5590.0,131.39173358468702,4.0,0.31342528491084887,frame wood,missing,304266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99259.5,0.0,0.0,0.0,0.0,0.0,0.0,1968675.0,397235.95,0.0,0.0,58136.0
New construction,Residential,Multi-family house,Asia,China,Beijing,5590.0,131.39173358468702,4.0,0.31342528491084887,frame concrete,missing,38984.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282210.0,0.0,0.0,0.0,0.0,0.0,1625804.6,6436175.0,1103740.5,88322.0
New construction,Residential,Multi-family house,Asia,China,Beijing,5590.0,131.39173358468702,4.0,0.31342528491084887,frame steel,missing,370564.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190392.0,0.0,459520.0,0.0,0.0,0.0,0.0,0.0,197945.78,586750.0,0.0,61490.0
missing,Non-residential,Office,North America,Canada,missing,14233.0,480.2106324033556,5.0,3.0,massive wood,Flat roof,2035593.0,0.0,0.0,0.0,0.0,0.0,60375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25293.9,18387500.0,0.0,0.0
missing,Non-residential,Office,North America,Canada,missing,14233.0,480.2106324033556,5.0,3.0,frame concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,60375.0,0.0,0.0,0.0,7069892.5,0.0,0.0,0.0,0.0,0.0,17553.9,28995000.0,0.0,0.0
missing,Residential,Semi-detached,Europe,Finland,missing,35270.0,582.1467815615865,11.609560275368123,0.7573929342829347,frame wood,missing,19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,895862.0,0.0,0.0,34872393.0,0.0,0.0,0.0,883866.2
