Project_Type,Building_Use_Type,Building_Use_Subtype,Continent,Country,City,Gross_Floor_Area,Total_Users,Floors_Above_Ground,Floors_Below_Ground,Structure_Type,Roof_Type,Mass_Wood,Mass_Straw_Hemp,Mass_Fungi,Mass_Brass_Copper,Mass_Earth,Mass_Bamboo,Mass_Glass,Mass_Stone,Mass_Stone_Wool,Mass_Ceramics,Mass_Metals,Mass_Plastics,Mass_Steel_Reinforcement,Mass_EPS_XPS,Mass_Aluminium,Mass_Concrete_Without_Reinforcement,Mass_Other,Mass_Concrete_With_Reinforcement,Mass_Cement_Mortar,Total_Carbon
missing,Non-residential,School and Daycare,Europe,Finland,missing,6501.0,154.03111426492896,4.439866038173269,0.33330872942575795,frame concrete,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5992464.0,0.0,3884176.0,416995.2,51292.89000000001
missing,Non-residential,School and Daycare,Europe,Finland,missing,2919.0,100.72685202930637,3.5471744340983298,0.2805064206281491,frame concrete,Other,0.0,0.0,0.0,0.0,3185249.28,0.0,0.0,0.0,0.0,252720.0,0.0,0.0,0.0,0.0,0.0,1912522.08,0.0,1067220.0,0.0,45332.07
missing,Non-residential,School and Daycare,Europe,Finland,missing,5781.0,143.31668969495465,4.26043053986675,0.3226952000192034,missing,Other,260625.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3411182.0,0.0,4165056.0,399201.6,85963.47
missing,Non-residential,School and Daycare,Europe,Finland,missing,9173.0,193.7935343357229,5.1057711096663585,0.37269671633452695,other,Other,0.0,0.0,0.0,0.0,246088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5647771.99999999,0.0,5299000.0,592560.6,118331.69999999998
missing,Non-residential,School and Daycare,Europe,Finland,missing,2015.0,87.27429673589404,3.3218831973356973,0.2671805448176973,frame wood,Other,195482.484021016,0.0,0.0,0.0,77447.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394767.296,65680.9291790068,681436.854,0.0,20311.2
missing,Non-residential,School and Daycare,Europe,Finland,missing,5575.0,140.25117377632307,4.209092050073496,0.3196585513278837,frame concrete,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240272.641076233,0.0,0.0,0.0,0.0,0.0,3307462.35982062,99204.5355025426,3077699.16591928,338460.004591928,116015.75
missing,Non-residential,Office,Europe,Finland,missing,23660.0,409.3766853707493,8.716162865175477,0.5862497726022426,frame concrete,Other,0.0,0.0,0.0,0.0,20373494.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6597732.88,0.0,9411867.3,0.0,373828.0
missing,Non-residential,Office,Europe,Finland,missing,9481.0,198.37692706843413,5.182529628386369,0.3772369483584419,frame concrete,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661122.0,0.0,0.0,0.0,0.0,0.0,5544043.2,0.0,4455004.0,0.0,125528.44000000002
missing,Non-residential,Office,Europe,Finland,missing,10798.0,217.97539534434563,5.510747060705381,0.39665086256459786,missing,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251720.475663365,0.0,0.0,0.0,0.0,10929337.2869949,0.0,887599.34592977,0.0,158406.66000000003
missing,Non-residential,Office,Europe,Finland,missing,36000.0,593.0100175839217,11.791487933373347,0.7681538738201357,frame concrete,Other,0.0,0.0,0.0,0.0,5497190.0,0.0,0.0,0.0,0.0,0.0,1822352.9286775,0.0,0.0,0.0,0.0,11036227.1159999,0.0,16606676.7625056,0.0,462240.0
missing,Non-residential,Office,Europe,Finland,missing,10015.0,206.32345862449844,5.315610956297038,0.3851086493349698,frame concrete,Other,0.0,0.0,0.0,0.0,12393005.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4627640.0,0.0,3932138.0,728734.999999999,150525.44999999998
missing,Non-residential,Office,Europe,Finland,missing,55250.0,879.4720633783761,16.588895353374074,1.0519183753148227,frame concrete,Other,0.0,0.0,0.0,0.0,5241417.0,0.0,0.0,0.0,0.0,1169277.0,0.0,0.0,1219502.0,0.0,0.0,70200812.7999999,0.0,0.0,3910000.0,858032.5
missing,Non-residential,Office,Europe,Finland,missing,11416.0,227.17194310024033,5.664762530085143,0.40576080863855724,frame concrete,Other,0.0,0.0,0.0,0.0,800400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16306128.0,0.0,1992371.0,518846.6,201378.24000000002
missing,Non-residential,Office,Europe,Finland,missing,21821.0,382.0102592816065,8.25785469658424,0.5591410495763347,frame concrete,Other,0.0,0.0,0.0,0.0,5746827.18799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27556591.72448,0.0,7559130.0,0.0,295019.92
missing,Non-residential,Office,Europe,Finland,missing,7145.0,163.6145717969616,4.600361122769657,0.3428019418393984,frame concrete,Other,0.0,0.0,0.0,0.0,6277000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459048.4,0.0,3269859.25946153,0.0,97457.8
missing,Non-residential,Office,Europe,Finland,missing,6280.0,150.74238116775626,4.384789308831962,0.33005096553846835,missing,Other,0.0,0.0,0.0,0.0,2084361.28467345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7914248.22105119,0.0,4231167.867723,0.0,68200.79999999999
missing,Residential,Single family house,Europe,Finland,missing,183.0,4.0,2.0,0.0,frame wood,Gable or saddle roof,45396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2328.0,0.0,0.0,0.0,0.0,130091.0,0.0,0.0,2600.0,2397.2999999999984
missing,Residential,Single family house,Europe,Finland,missing,138.0,3.0,1.0,0.0,frame wood,Gable or saddle roof,26732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26250.0,0.0,0.0,0.0,2069.999999999999
missing,Residential,Single family house,Europe,Finland,missing,155.0,4.0,1.0,0.0,frame wood,Gable or saddle roof,21019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054.0,0.0,0.0,0.0,0.0,26350.0,0.0,0.0,0.0,1612.0
missing,Residential,Single family house,Europe,Finland,missing,142.0,4.0,1.0,0.0,frame wood,Gable or saddle roof,17806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2808.0,0.0,1928.0,0.0,0.0,0.0,0.0,24450.0,0.0,0.0,0.0,2002.1999999999994
missing,Residential,Semi-detached,Europe,Finland,missing,169.0,3.0,1.0,0.0,frame wood,Gable or saddle roof,16177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337.0,21160.0,0.0,0.0,0.0,0.0,0.0,37965.0,0.0,0.0,0.0,2213.899999999999
missing,Residential,Single family house,Europe,Finland,missing,242.0,2.0,1.0,0.0,massive concrete,Gable or saddle roof,13008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68600.0,0.0,161600.0,0.0,4307.599999999999
missing,Residential,Single family house,Europe,Finland,missing,230.0,6.0,1.0,0.0,frame wood,Gable or saddle roof,23461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39080.0,0.0,0.0,0.0,2667.9999999999986
missing,Residential,Single family house,Europe,Finland,missing,168.0,6.0,1.0,0.0,frame steel,Gable or saddle roof,14575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3956.0,0.0,0.0,0.0,0.0,7120.0,0.0,0.0,4260.0,2923.1999999999985
missing,Residential,Single family house,Europe,Finland,missing,149.0,2.0,1.0,0.0,frame wood,Gable or saddle roof,12076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27030.0,0.0,0.0,14772.0,1922.099999999999
missing,Residential,Single family house,Europe,Finland,missing,195.0,6.0,2.0,0.0,frame wood,Single pitched roof,27260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2569.0,1421.0,0.0,0.0,0.0,0.0,0.0,22370.0,0.0,0.0,0.0,2027.9999999999998
missing,Residential,Single family house,Europe,Finland,missing,179.0,2.0,1.0,0.0,frame concrete,Single pitched roof,16154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22078.0,0.0,0.0,0.0,0.0,60910.0,0.0,76990.0,13540.0,2738.699999999999
missing,Residential,Single family house,Europe,Finland,missing,195.0,4.0,1.0,0.0,frame wood,Single pitched roof,30394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26010.0,0.0,0.0,0.0,2339.999999999999
missing,Residential,Single family house,Europe,Finland,missing,227.0,2.0,1.0,0.0,frame steel,Other,21397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13916.0,0.0,0.0,0.0,0.0,22529.0,0.0,0.0,0.0,2565.1
missing,Residential,Single family house,Europe,Finland,missing,276.0,4.0,2.0,0.0,frame concrete,Flat roof,10610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5919.0,0.0,0.0,266098.0,0.0,38223.0,0.0,3808.799999999998
missing,Residential,Single family house,Europe,Finland,missing,264.0,4.0,1.0,0.0,massive wood,Single pitched roof,92873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79390.0,0.0,27170.0,0.0,1346.3999999999774
missing,Residential,Single family house,Europe,Finland,missing,147.0,3.0,1.0,0.0,frame wood,Gable or saddle roof,30218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28630.0,0.0,0.0,0.0,1719.8999999999942
missing,Non-residential,Mixed use,Europe,Finland,missing,3134.0,54.0,3.0,0.0,frame concrete,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292990.0,88590.0,0.0,0.0,0.0,0.0,301790.0,0.0,3283793.0,142890.0,81483.99999999997
missing,Residential,Multi-family house,Europe,Finland,missing,2930.0,68.0,6.0,0.0,frame concrete,Gable or saddle roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84096.0,0.0,0.0,93289.0,0.0,0.0,3379280.0,0.0,1228348.0,76891.0,58892.99999999997
missing,Residential,Multi-family house,Europe,Finland,missing,2866.0,68.0,6.0,0.0,frame concrete,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1883670.0,0.0,1612680.0,136710.0,59856.45003520331
New construction,Residential,Single family house,Europe,Italy,Perugia,-84.43013439657966,5.0,2.0,0.0,frame wood,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515440.0,159180.0,-371.4925913449498
New construction,Non-residential,Office,Oceania,Australia,Perth,4020.0,124.68766763505269,4.0,0.30177889708562233,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,48320.0,0.0,0.0,870000.0,84700.0,0.0,459420.0,0.0,0.0,0.0,0.0,4426320.0,0.0,0.0
New construction,Residential,missing,Europe,Italy,Turin,19711.05806163178,489.2763828848906,10.0,1.0,massive concrete,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573000.0,0.0,0.0,321400.0,0.0,0.0,0.0,0.0,7334000.0,363000.0,1070803.2291981464
New construction,Residential,Single family house,Europe,United Kingdom,"MIdlands, UK",166.43,0.805487363915546,2.0,0.0,massive brick,Gable or saddle roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9275.0,0.0,6816.0,0.0,0.0,0.0,0.0,0.0,67890.0,5635.0,0.0,4950.0,0.0
New construction,Residential,missing,Europe,United Kingdom,UK,-186.0669494888184,2.3,2.0,0.17593923329122502,massive brick,Gable or saddle roof,4713.0,0.0,0.0,0.0,0.0,0.0,0.0,7280.0,0.0,82274.0,0.0,0.0,0.0,0.0,0.0,53542.0,0.0,0.0,24845.0,-0.0
New construction,Residential,missing,Europe,United Kingdom,UK,-186.0669494888184,2.3,2.0,0.17593923329122502,massive brick,Gable or saddle roof,3249.0,0.0,0.0,0.0,0.0,0.0,0.0,5051.0,0.0,64308.0,0.0,0.0,0.0,0.0,0.0,40142.0,0.0,0.0,19087.0,-0.0
New construction,Residential,missing,Europe,United Kingdom,UK,-186.0669494888184,2.3,2.0,0.17593923329122502,massive brick,Gable or saddle roof,2303.0,0.0,0.0,0.0,0.0,0.0,0.0,3360.0,0.0,40958.0,0.0,0.0,0.0,0.0,0.0,28742.0,0.0,0.0,11454.0,-0.0
New construction,Residential,Other,Asia,China,Nanjing,-520.430431159306,3.0,1.0,0.0,frame steel,Flat roof,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,470.0,0.0,0.0,0.0,3870.0,575.0,0.0,0.0,0.0,-3643.0130181151417
New construction,Residential,Other,Asia,China,Nanjing,-520.430431159306,3.0,1.0,0.0,frame steel,Flat roof,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,470.0,0.0,0.0,0.0,3870.0,575.0,0.0,0.0,0.0,-3031.507261502957
New construction,Residential,Other,Asia,China,Nanjing,-520.430431159306,3.0,1.0,0.0,frame steel,Flat roof,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,470.0,0.0,0.0,0.0,3870.0,575.0,0.0,0.0,0.0,-2914.410414492111
New construction,Residential,Other,Asia,China,Nanjing,-520.430431159306,3.0,1.0,0.0,frame steel,Flat roof,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,470.0,0.0,0.0,0.0,3870.0,575.0,0.0,0.0,0.0,-2828.5393933508276
New construction,Non-residential,Other,Europe,Switzerland,Fribourg,9302.760895177347,232.48578584060434,6.0,0.4005510043402637,frame wood,Flat roof,1019121.0,93.22,0.0,0.0,0.0,0.0,0.0,129.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.03,0.0,0.0,143.51,91477.14880257717
New construction,Residential,Other,Asia,China,Fuzhou,121732.37971241935,2991.0,50.40853913603947,3.263161517563532,other,missing,0.0,0.0,0.0,0.0,35628792.0,0.0,0.0,0.0,0.0,1465889.1,1902276.0,0.0,0.0,0.0,0.0,37895970.0,0.0,0.0,1850532.0,9372175.914059166
New construction,Non-residential,Other,Asia,Singapore,Singapore,56094.0,204.0,6.0,0.32981632521648735,frame concrete,Flat roof,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,1825930.0,0.0,0.0,0.0,0.0,6168000.0,0.0,0.0,125700.0,1428527.1999999997
New construction,Residential,missing,"Middle East, North Africa, and Greater Arabia",Turkey,Gaziantep,7267.212348437294,100.0,13.0,-0.17644049692056185,massive concrete,Flat roof,66915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17620.0,304174.0,0.0,0.0,264193.0,0.0,0.0,5306640.0,0.0,0.0,0.0,0.0
New construction,Residential,missing,"Middle East, North Africa, and Greater Arabia",Turkey,Gaziantep,1146.9650830355804,30.0,3.0,0.1780144350581071,massive concrete,Flat roof,12510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45245.0,83053.0,0.0,0.0,0.0,0.0,0.0,0.0,1707500.0,56100.0,0.0
New construction,Residential,missing,"Middle East, North Africa, and Greater Arabia",Turkey,missing,70.0,5.0,1.0,0.0,frame steel,Gable or saddle roof,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875.0,4304.0,0.0,0.0,0.0,0.0,0.0,0.0,34214.0,484.0,17010.0
New construction,Residential,missing,"Middle East, North Africa, and Greater Arabia",Turkey,missing,21.0,4.0,1.0,0.0,frame steel,Flat roof,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,1880.0,0.0,0.0,10873.0,0.0,0.0,0.0,9891.0
New construction,Non-residential,Office,North America,USA,"Golden, Colorado",5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,84000.0,0.0,0.0,1904762.0,110000.0,0.0,32812280.0,0.0,0.0,0.0,817415.9598923572
New construction,Non-residential,Office,Europe,Switzerland,Givisiez,2774.755547984856,76.74753784503974,3.0,0.26272331657931486,massive wood,missing,144200.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,12600.0,55000.0,0.0,792650.0,0.0,0.0,0.0,88792.1775355154
New construction,Non-residential,Office,South America,Brazil,Campinas,1005.21,28.90235093600448,2.636585148645193,0.0,frame steel,Other,13604.33,0.0,0.0,0.0,0.0,0.0,38159.52,0.0,0.0,0.0,0.0,3731.03,782323.81,0.0,0.0,472490.24,0.0,0.0,0.0,35946.3096
New construction,Non-residential,Office,South America,Brazil,Campinas,1005.21,28.90235093600448,2.636585148645193,0.0,frame steel,Other,13604.33,0.0,0.0,0.0,0.0,0.0,38159.52,0.0,0.0,0.0,0.0,3731.03,782323.81,0.0,0.0,472490.24,0.0,0.0,0.0,36187.56
New construction,Residential,Multi-family house,Asia,China,Harbin,17558.0,718.8955684033918,16.0,1.0,frame concrete,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495399.94,0.0,0.0,0.0,1343550.0,897460.0,0.0,0.0,27888789.5,0.0,0.0,4545976.5,1242579.66
New construction,Residential,Multi-family house,Asia,China,Harbin,17558.0,718.8955684033918,16.0,1.0,frame concrete,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495399.94,0.0,0.0,0.0,1343550.0,897460.0,0.0,0.0,27888789.5,0.0,0.0,4545976.5,1318605.7999999998
New construction,Residential,Multi-family house,Asia,China,Harbin,17558.0,718.8955684033918,16.0,1.0,frame concrete,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495399.94,0.0,0.0,0.0,1343550.0,897460.0,0.0,0.0,27888789.5,0.0,0.0,4545976.5,1054884.64
New construction,Residential,Multi-family house,Asia,China,Harbin,17558.0,718.8955684033918,16.0,1.0,frame concrete,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495399.94,0.0,0.0,0.0,1343550.0,897460.0,0.0,0.0,27888789.5,0.0,0.0,4545976.5,917229.9199999999
New construction,Residential,Multi-family house,Asia,China,Harbin,17558.0,718.8955684033918,16.0,1.0,frame concrete,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495399.94,0.0,0.0,0.0,1343550.0,897460.0,0.0,0.0,27888789.5,0.0,0.0,4545976.5,753413.7799999999
New construction,Residential,Single family house,Europe,Italy,missing,1700.2846291442106,45.69906070567208,3.0,0.0,massive concrete,Gable or saddle roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17477.0,0.0,233654.0,32383.0,22893.0,0.0,0.0,0.0,833186.0,0.0,0.0,0.0,98701.52272182143
New construction,Residential,missing,Europe,Switzerland,Chur,406.0,4.0,2.0,1.0,frame wood,missing,15554.0,0.0,0.0,0.0,0.0,0.0,0.0,18800.0,0.0,21958.0,0.0,0.0,0.0,0.0,0.0,0.0,19769.0,302608.0,0.0,0.0
New construction,Residential,missing,North America,USA,New Jersey,317.0,105.19927989743903,2.0,1.0,frame wood,missing,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,29724.0,0.0,0.0,0.0,0.0,3106.0,0.0,0.0,165500.0,10496.0,0.0,0.0,0.0
New construction,Residential,missing,South America,Colombia,Pamplona,-119.33750654621917,4.0,2.0,0.0,frame concrete,missing,3025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24800.0,5500.0,0.0,0.0,0.0,0.0,106080.0,0.0,0.0,3500.0,-0.0
New construction,Residential,missing,Europe,Spain,Barcelona,-119.33750654621917,4.0,2.0,0.0,frame concrete,missing,2475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25410.0,3500.0,0.0,0.0,0.0,0.0,79980.0,0.0,0.0,3200.0,-0.0
New construction,Residential,missing,Europe,Portugal,"Coimbra, Portugal",-119.33750654621917,4.0,2.0,0.0,frame concrete,Flat roof,2170.0,0.0,0.0,0.0,0.0,0.0,0.0,35496.0,0.0,47406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102224.0,45580.0,-0.0
New construction,Residential,Single family house,Europe,Italy,Turin,192.0,0.8949724659573235,2.0,0.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86018.0,0.0,0.0,8.49,0.0,0.0,261353.0,9.67,0.0,13330.0,10018.560000000001
New construction,Residential,Row house,Europe,Italy,Turin,165.0,0.8004829174579982,2.0,0.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77190.0,0.0,0.0,6.08,0.0,0.0,222139.0,9.65,0.0,15423.0,7893.6
New construction,Residential,Multi-family house,Europe,Italy,Turin,1256.0,148.0110923010263,3.0,1.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361402.0,0.0,0.0,42.18,0.0,0.0,2023390.0,55.42,0.0,125261.0,43570.64
New construction,Residential,Multi-family house,Europe,Italy,Turin,2968.0,312.10513313268586,7.0,1.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153879.0,0.0,0.0,80.66,0.0,0.0,3781590.0,157.79,0.0,309882.0,117859.28
New construction,Residential,Single family house,Europe,Italy,Florence,192.0,0.8949724659573235,2.0,0.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86018.0,0.0,0.0,8.49,0.0,0.0,261353.0,9.67,0.0,13330.0,9534.72
New construction,Residential,Row house,Europe,Italy,Florence,165.0,0.8004829174579982,2.0,0.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77190.0,0.0,0.0,6.08,0.0,0.0,222139.0,9.65,0.0,15423.0,7400.250000000002
New construction,Residential,Multi-family house,Europe,Italy,Florence,1256.0,148.0110923010263,3.0,1.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361402.0,0.0,0.0,42.18,0.0,0.0,2023390.0,55.42,0.0,125261.0,43570.64
New construction,Residential,Multi-family house,Europe,Italy,Florence,2968.0,312.10513313268586,7.0,1.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153879.0,0.0,0.0,80.66,0.0,0.0,3781590.0,157.79,0.0,309882.0,114475.76
New construction,Residential,Single family house,Europe,Italy,Bari,192.0,0.8949724659573235,2.0,0.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86018.0,0.0,0.0,8.49,0.0,0.0,261353.0,9.67,0.0,13330.0,8935.68
New construction,Residential,Row house,Europe,Italy,Bari,165.0,0.8004829174579982,2.0,0.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77190.0,0.0,0.0,6.08,0.0,0.0,222139.0,9.65,0.0,15423.0,6883.8
New construction,Residential,Multi-family house,Europe,Italy,Bari,1256.0,148.0110923010263,3.0,1.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361402.0,0.0,0.0,42.18,0.0,0.0,2023390.0,55.42,0.0,125261.0,40305.04
New construction,Residential,Multi-family house,Europe,Italy,Bari,2968.0,312.10513313268586,7.0,1.0,massive brick,Single pitched roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153879.0,0.0,0.0,80.66,0.0,0.0,3781590.0,157.79,0.0,309882.0,110350.24
New construction,Residential,Single family house,Europe,Italy,Piedmont,367.0,4.0,2.0,1.0,frame concrete,Other,0.0,0.0,0.0,0.0,0.0,0.0,115600.0,0.0,0.0,0.0,431000.0,288400.0,0.0,0.0,274900.0,493000.0,0.0,0.0,0.0,0.0
New construction,Residential,Single family house,South America,Chile,Punto Arenas,-485.5230590096664,4.0,1.0,0.0,frame concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,1929.0,2892.0,0.0,1136.0,0.0,0.0,7229.0,0.0,0.0,0.0,-0.0
New construction,Residential,Single family house,South America,Chile,Puerto Montt,-485.5230590096664,4.0,1.0,0.0,frame concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,1929.0,2892.0,0.0,1136.0,0.0,0.0,7229.0,0.0,0.0,0.0,-0.0
New construction,Residential,Single family house,South America,Chile,Santiago,-485.5230590096664,4.0,1.0,0.0,frame concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,1929.0,2892.0,0.0,1136.0,0.0,0.0,7229.0,0.0,0.0,0.0,-0.0
New construction,Residential,Single family house,South America,Chile,Antofagasta,-485.5230590096664,4.0,1.0,0.0,frame concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,1929.0,2892.0,0.0,1136.0,0.0,0.0,7229.0,0.0,0.0,0.0,-0.0
New construction,Non-residential,Office,Asia,China,Nanjing,37835.81989076255,958.0681243792421,15.0,3.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11424000.0,0.0,0.0,0.0,0.0,0.0,11961000.0,0.0,0.0,1896000.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
