Building_Project_Type,Country,Primary_Foundation_Type,Primary_Ground_Floor_Type,Primary_Vertical_Element_Type,Primary_Horizontal_Element_Type,Primary_Slab_Type,Primary_Cladding_Type,Primary_Heating_Type,Primary_Cooling_Type,Primary_Finishes_Type,Primary_Ventilation_Type,Total_Embodied_Carbon
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,117.14012654890588
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,117.14012654890588
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,117.14012654890588
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,117.14012654890588
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,120.37206651604895
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
New built,missing,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,92.48319062122869
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
Extension and retrofit,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43.65828571428571
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Other,Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,362.0596892886345
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
New built,missing,Reinforced pads/strips,Suspended,Steel,Steel,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,235.53956148713056
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
Demolish and new build,UNITED KINGDOM,Reinforced pads/strips,Timber,Steel,Steel,Timber,Other,Solar thermal,Other,Not applicable,Natural,7.366449511400651
