Unnamed: 0,Index,Count,site_country_code,admin_project_code,admin_data_partner,admin_project_contact,bldg_use_type,bldg_use_subtype,bldg_project_status,site_country,bldg_year_permit,bldg_year_complete,bldg_year_complete_interval,bldg_QTO_type,bldg_area_definition,bldg_area_gfa,bldg_area_hfa,bldg_area_interval,bldg_users_total,bldg_floors_ag,bldg_floors_ag_interval,bldg_floors_bg,bldg_struct_type,bldg_roof_type,bldg_energy_class_general,bldg_energy_class_country,bldg_certification,inv_energy_consumption,inv_mat_mass_total,inv_mat_mass_total_m2,inv_mat_mass_total_capita,inv_mat_mass_sum_top_5,inv_mat_mass_ratio,inv_mat_1_type,inv_mat_1_mass,inv_mat_2_type,inv_mat_2_mass,inv_mat_3_type,inv_mat_3_mass,inv_mat_4_type,inv_mat_4_mass,inv_mat_5_type,inv_mat_5_mass,mass_aluminium,mass_bamboo,mass_brass_copper,mass_cement_mortar,mass_ceramics,mass_concrete_reinforced,mass_concrete_wo_reinforcement,mass_earth,mass_EPS_XPS,mass_fungi,mass_glass,mass_metals,mass_plastics,mass_steel_reinforcement,mass_stone,mass_stone_wool,mass_straw_hemp,mass_wood,mass_other,mass_eurostat_metal_materials,mass_eurostat_non-metallic_minerals,mass_eurostat_fossil_energy_materials,mass_eurostat_biomass_based_materials,lca_RSP,lca_software,lca_database,lca_scenarios_decarbonisation,scope_parts,scope_LCS,scope_LCM,scope_parts_1_ground,scope_parts_2_structure,scope_parts_3_secondary,scope_parts_4_finishes,scope_parts_5_mechanical,scope_parts_6_electrical,scope_parts_6+_renewables,scope_parts_7_facilities,scope_parts_8_fittings,scope_LCS_A123,scope_LCS_A4,scope_LCS_A5,scope_LCS_B1,scope_LCS_B2,scope_LCS_B3,scope_LCS_B4,scope_LCS_B5,scope_LCS_B6,scope_LCS_B7,scope_LCS_B8,scope_LCS_C1,scope_LCS_C2,scope_LCS_C3,scope_LCS_C4,scope_LCS_D,scope_handling_D,GHG_sum_em,GHG_sum_em_m2a,GHG_sum_em_capita_a,GHG_A_m2a,GHG_B_em_m2a,GHG_B_op_m2a,GHG_C_m2a,GHG_A_capita_a,GHG_B_em_capita_a,GHG_B_op_capita_a,GHG_C_capita_a,GHG_A1_m2a,GHG_A2_m2a,GHG_A3_m2a,GHG_A4_m2a,GHG_A5_m2a,GHG_B1_m2a,GHG_B2_m2a,GHG_B3_m2a,GHG_B4_m2a,GHG_B6_m2a,GHG_B7_m2a,GHG_C1_m2a,GHG_C2_m2a,GHG_C3_m2a,GHG_C4_m2a,GHG_A123_m2a,GHG_A45_m2a,GHG_B1234_m2a,GHG_B5_m2a,GHG_B67_m2a,GHG_C12_m2a,GHG_C34_m2a,GHG_D_m2a,GHG_A123_m2a_APEN,GHG_A45_m2a_APEN,GHG_B1234_m2a_APEN,GHG_B5_m2a_APEN,GHG_B67_m2a_APEN,GHG_C12_m2a_APEN,GHG_C34_m2a_APEN,GHG_D_m2a_APEN,GHG_sum_em_m2a_APEN,GHG_sum_op_m2a_APEN,GHG_A123_m2a_harm,GHG_A45_m2a_harm,GHG_B1234_m2a_harm,GHG_B5_m2a_harm,GHG_B67_m2a_harm,GHG_C12_m2a_harm,GHG_C34_m2a_harm,GHG_sum_em_m2a_harm,GHG_A123_m2a_harm_LCM,GHG_A45_m2a_harm_LCM,GHG_B1234_m2a_harm_LCM,GHG_B5_m2a_harm_LCM,GHG_C12_m2a_harm_LCM,GHG_C34_m2a_harm_LCM,GHG_P1_sum_m2a,GHG_P1_A123_m2a,GHG_P1_A45_m2a,GHG_P1_B1234_m2a,GHG_P1_B5_m2a,GHG_P1_C12_m2a,GHG_P1_C34_m2a,GHG_P1_D_m2a,GHG_P2_sum_m2a,GHG_P2_A123_m2a,GHG_P2_A45_m2a,GHG_P2_B1234_m2a,GHG_P2_B5_m2a,GHG_P2_C12_m2a,GHG_P2_C34_m2a,GHG_P2_D_m2a,GHG_P34_sum_m2a,GHG_P34_A123_m2a,GHG_P34_A45_m2a,GHG_P34_B1234_m2a,GHG_P34_B5_m2a,GHG_P34_C12_m2a,GHG_P34_C34_m2a,GHG_P34_D_m2a,GHG_P4_sum_m2a,GHG_P4_A123_m2a,GHG_P4_A45_m2a,GHG_P4_B1234_m2a,GHG_P4_B5_m2a,GHG_P4_C12_m2a,GHG_P4_C34_m2a,GHG_P4_D_m2a,GHG_P56_sum_m2a,GHG_P56_A123_m2a,GHG_P56_A45_m2a,GHG_P56_B1234_m2a,GHG_P56_B5_m2a,GHG_P56_C12_m2a,GHG_P56_C34_m2a,GHG_P56_D_m2a,GHG_P78_sum_m2a,GHG_P78_A123_m2a,GHG_P78_A45_m2a,GHG_P78_B1234_m2a,GHG_P78_B5_m2a,GHG_P78_C12_m2a,GHG_P78_C34_m2a,GHG_P78_D_m2a,GHG_sum_em_m2pertonGHG_a,GHG_sum_em_m2pertonGHG,GHG_sum_op_m2pertonGHG_a,GHG_sum_op_m2pertonGHG,GHG_sum_em_cappertonGHG_a,GHG_sum_em_cappertonGHG,GHG_sum_op_cappertonGHG_a,GHG_sum_op_cappertonGHG,ratio_A123_LCM,ratio_A45_LCM,ratio_B1234_LCM,ratio_B5_LCM,ratio_C12_LCM,ratio_C34_LCM,ratio_A123_parts,ratio_A45_parts,ratio_B1234_parts,ratio_B5_parts,ratio_C12_parts,ratio_C34_parts,mass_Eurostat_Metals,mass_Eurostat_CCA,mass_Eurostat_Non-CCA-minerals,mass_Eurostat_Bio-based,mass_Eurostat_Other-materials,mass_total_mats,mass_total_eurostat,mi_aluminium,mi_bamboo,mi_brass_copper,mi_cement_mortar,mi_ceramics,mi_concrete_reinforced,mi_concrete_wo_reinforcement,mi_earth,mi_EPS_XPS,mi_fungi,mi_glass,mi_metals,mi_plastics,mi_steel_reinforcement,mi_stone,mi_stone_wool,mi_straw_hemp,mi_wood,mi_other,mi_eurostat_metal_materials,mi_eurostat_non-metallic_minerals,mi_eurostat_fossil_energy_materials,mi_eurostat_biomass_based_materials,mi_Eurostat_Metals,mi_Eurostat_CCA,mi_Eurostat_Non-CCA-minerals,mi_Eurostat_Bio-based,mi_Eurostat_Other-materials,source_code,meta_source,meta_authors,meta_year,meta_title,meta_journal,meta_DOI_URL,site_region_local,site_climate_zone,site_seismic_hazard,site_region_world,bldg_project_type,bldg_area_value,bldg_area_specification,bldg_height,bldg_volume_gbv,bldg_area_envelope,bldg_area_windows,bldg_area_walls_ext,bldg_footprint,bldg_orientation,bldg_attached_faces,bldg_ratio_window_to_wall,bldg_shape_factor,bldg_ratio_window_to_floor,bldg_ratio_wall_ext_to_floor,bldg_wall_internal_type,bldg_wall_internal_area,bldg_construction_method,bldg_wall_ext_uvalue,bldg_roof_uvalue,bldg_inertia,bldg_energy_provision,bldg_energy_sources,bldg_energy_distribution,bldg_bipv_description,inv_energy_consumption_description,lca_goal_scope,lca_reference_unit,lca_functional_unit,lca_database_version,lca_database_other,lca_lcia_method,lca_model_type,inv_energy_consumption_type,scope_LCS_B6_heating,scope_LCS_B6_ventilation,scope_LCS_B6_cooling,scope_LCS_B6_DHW,scope_LCS_B6_lighting,scope_LCS_B6_appliances,lca_indicators_other,CED_EE_m2a,CED_OE_m2a,CED_A1-3_m2a,CED_A4-5_m2a,CED_B1-4_m2a,CED_B5_m2a,CED_B6-7_m2a,CED_C1-2_m2a,CED_C3-4_m2a,CED_D_m2a,CED_EE_share,CED_OE_share,GHG_EC_share,GHG_OC_share,CED_EE_m2a_APEN,CED_OE_m2a_APEN,CED_A1-3_m2a_APEN,CED_A4-5_m2a_APEN,CED_B1-4_m2a_APEN,CED_B5_m2a_APEN,CED_B6-7_m2a_APEN,CED_C1-2_m2a_APEN,CED_C3-4_m2a_APEN,CED_D_m2a_APEN
106,106,1,UK,RICS97,RICS,BUILD,Non-residential,Office,New Built,United Kingdom,,2011.0,2010-2014,As-built measurement,Other,33018.0,,,,10.0,7-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,GaBi,Own data,,GLEI,ABD,PO,Yes,Yes,Yes,Yes,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,Yes,,,0.0296807801805076,,0.0296807801805076,,,,,,,,,,,,,,,,,,,,,,,0.0296807801805076,,,,0.0302852989278575,,,-9563.0,,,,,,,,,,,0.0148403900902538,,,,0.0302852989278575,,,0.0148403900902538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33691.8367346938,1347.67346938775,33019.3207728309,1320.77283091323,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,1,UK,RICS98,RICS,BUILD,Non-residential,Other,New Built,United Kingdom,,2011.0,2010-2014,As-built measurement,Other,34000.0,,,,1.0,1-6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,GaBi,Own data,,GLEI,ABD,PO,Yes,Yes,Yes,Yes,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,Yes,,,0.01314,,0.01314,,,,,,,,,,,,,,,,,,,,,,,0.01314,,,,0.0311435294117647,,,-2912.0,,,,,,,,,,,0.00657,,,,0.0311435294117647,,,0.00657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76103.500761035,3044.1400304414,32109.3986098519,1284.37594439407,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,1,UK,RICS99,RICS,BUILD,Non-residential,Retail and Restaurant,New Built,United Kingdom,,2011.0,2010-2014,As-built measurement,Other,9393.0,,,,2.0,1-6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,GaBi,Own data,,GLEI,ABD,PO,Yes,Yes,Yes,Yes,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,Yes,,,0.0200574896199297,,0.0200574896199297,,,,,,,,,,,,,,,,,,,,,,,0.0200574896199297,,,,0.0744469285638241,,,-1264.0,,,,,,,,,,,0.0100287448099648,,,,0.0744469285638241,,,0.0100287448099648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49856.6878980891,1994.26751592356,13432.3875986729,537.295503946916,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,1,UK,RICS100,RICS,BUILD,Non-residential,School and Daycare,New Built,United Kingdom,,2011.0,2010-2014,As-built measurement,Other,9637.0,,,,2.0,1-6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,GaBi,Own data,,GLEI,ABD,PO,Yes,Yes,Yes,Yes,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,Yes,,,0.0185036837189996,,0.0185036837189996,,,,,,,,,,,,,,,,,,,,,,,0.0185036837189996,,,,0.0383438829511258,,,-1478.0,,,,,,,,,,,0.0092518418594998,,,,0.0383438829511258,,,0.0092518418594998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54043.2929564827,2161.7317182593,26079.7791729811,1043.19116691924,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,1,UK,RICS110,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,27940.0,,,,8.0,7-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,1,UK,RICS111,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,19764.0,,,,9.0,7-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,1,UK,RICS112,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,54550.0,,,,14.0,7-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,1,UK,RICS113,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,9587.0,,,,7.0,7-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,1,UK,RICS114,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,9645.0,,,,3.0,1-6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,1,UK,RICS115,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,15192.0,,,,9.0,7-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,1,UK,RICS116,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,95945.0,,,,36.0,>25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,1,UK,RICS117,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,19600.0,,,,9.0,7-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,1,UK,RICS118,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,66093.0,,,,8.0,7-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,1,UK,RICS119,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,65414.0,,,,18.0,15-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,1,UK,RICS120,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,1788.0,,,,2.0,1-6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,1,UK,RICS121,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,9467.0,,,,3.0,1-6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,1,UK,RICS122,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,23156.0,,,,12.0,7-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,UK,RICS123,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,19125.0,,,,7.0,7-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,1,UK,RICS124,RICS,BUILD,Non-residential,Office,In use,United Kingdom,,1990.0,1990-1994,As-built measurement,Other,29806.0,,,,18.0,15-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,GLEI,A,PC,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,not in scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756733937198484,0.243266062801515,,,,,0.812998967494489,0.135650801217455,0.188864770400034,,0.514051633298208,0.640000233118811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
