Unique ID,Material,Sub-material,Quantity of declared unit,Units of declared unit,Weight per declared unit - kg,Density of material - kg per m3,Density range - low - kg per m3,Density Range - high - kg per m3,Carbon sequestration included?,Carbon Storage Amount (Kg CO2 per unit),Embodied Carbon (kg CO2e per declared unit),Embodied Carbon per kg (kg CO2e per kg)
2f7020c3-bc73-4ed9-ac39-dba4401c8171,Concrete,"Concrete, GEN 3",1,m3,2380,2380, , , , ,229.9913705,0.0966
ed8855af-f803-4ec9-8b10-79f6e86a0944,Concrete,"Concrete, 20/25",1,m3,2400,2400, , , , ,249.6673495,0.104
84123788-92f1-4b7d-8eb2-a253649702cf,Concrete,"Concrete, 25/30",1,m3,2400,2400, , , , ,265.9866862,0.1108
78a72548-8c10-4f7f-a45b-f707db4e5b1c,Concrete,"Concrete, 28/35",1,m3,2400,2400, , , , ,281.7236538,0.1174
4d75613b-223d-412e-a856-65e9e42c7125,Concrete,"Concrete, 32/40",1,m3,2400,2400, , , , ,309.2021545,0.1288
02c04bd2-ec19-41b4-ba25-8dc9d2c88317,Concrete,"Concrete, 35/45",1,m3,2400,2400, , , , ,336.674536,0.1403
f95899c4-7100-4911-9a01-be134fbd14b9,Concrete,"Concrete, 40/50",1,m3,2400,2400, , , , ,366.8877514,0.1529
3e44d908-d9e4-41bb-b7ac-af90361513c8,Concrete,"Concrete, PAV 1",1,m3,2400,2400, , , , ,280.5357933,0.1169
8e540616-05d9-43cb-9170-565efec32bda,Concrete,"Concrete, PAV 2",1,m3,2400,2400, , , , ,310.2906226,0.1293
80537596-7cbd-418f-9bc3-f9a93bad5d0a,Concrete,"Concrete, GEN 0",1,m3,2370,2370, , , , ,131.8983103,0.0557
62b90c3d-a3da-4c99-b7a6-77a5025ce46d,Concrete,"Concrete, GEN 1",1,m3,2370,2370, , , , ,179.3392074,0.0757
18f420d6-3539-48d7-8a24-3faf8de5602e,Concrete,"Concrete, GEN 2",1,m3,2370,2370, , , , ,192.9504743,0.0814
a7166850-bd10-4930-a8bc-239257d83a74,Concrete,"Concrete, GEN 3",1,m3,2370,2370, , , , ,206.5833018,0.0872
40a5bc71-4b3a-4164-a453-abd774e30bbd,Concrete,"Concrete, 20/25",1,m3,2380,2380, , , , ,223.9474702,0.0941
6989a5fc-e7af-41f5-9901-2a4104b9b54a,Concrete,"Concrete, 25/30",1,m3,2380,2380, , , , ,237.5950858,0.0998
524848c1-4b2a-4fa3-8eb7-66b6f9ca3e81,Concrete,"Concrete, 28/35",1,m3,2380,2380, , , , ,252.0014638,0.1059
a8fbd12d-de5b-46df-a109-558358a5c4fe,Concrete,"Concrete, 32/40",1,m3,2380,2380, , , , ,278.6131947,0.1171
e852a69e-6702-4e7a-b81a-e2ab8e8872c4,Concrete,"Concrete, 35/45",1,m3,2380,2380, , , , ,295.3847015,0.1241
ea0bd194-7de9-4b33-82c0-47bd6b4856f2,Concrete,"Concrete, 40/50",1,m3,2380,2380, , , , ,315.6692738,0.1326
4638d551-75be-436e-aebe-82368a67b7d8,Concrete,"Concrete, PAV 1",1,m3,2380,2380, , , , ,251.2518294,0.1056
1516db56-0862-4553-aa97-94d4655fb656,Concrete,"Concrete, PAV 2",1,m3,2380,2380, , , , ,279.2158395,0.1173
3adac904-8931-4cbe-815a-152c427743da,Concrete,"Concrete, GEN 0",1,m3,2365,2365, , , , ,154.7037686,0.0654
5bd940fa-e317-4297-8e34-e8c7d0e44c13,Concrete,"Concrete, GEN 1",1,m3,2365,2365, , , , ,212.5427432,0.0899
9b0e5e7a-c8b5-4756-9e1b-a37b4fe42a5b,Concrete,"Concrete, GEN 2",1,m3,2360,2360, , , , ,229.155573,0.0971
de20db9c-730a-4b92-ad08-0fb476f5b0d5,Concrete,"Concrete, GEN 3",1,m3,2360,2360, , , , ,245.8722714,0.1042
146cd451-43cf-45d1-818b-8bf1cf9dd41a,Concrete,"Concrete, 20/25",1,m3,2385,2385, , , , ,267.1744039,0.112
0c8cd7f1-01a1-43f4-a6ee-1533859297db,Concrete,"Concrete, 25/30",1,m3,2385,2385, , , , ,283.8562271,0.119
598d7cf0-7eb3-418b-9cbb-ae6d9e0e0492,Concrete,"Concrete, 28/35",1,m3,2385,2385, , , , ,300.5608866,0.126
8c86cd4d-2a12-4d75-a3aa-7e3069d9b0d3,Concrete,"Concrete, 32/40",1,m3,2385,2385, , , , ,329.7127771,0.1382
4fab0a24-4d11-4b62-b542-b57e1a69dba1,Concrete,"Concrete, 35/45",1,m3,2385,2385, , , , ,354.6488543,0.1487
9b997728-8005-4a1f-a738-03663749a7f6,Concrete,"Concrete, 40/50",1,m3,2385,2385, , , , ,379.512788,0.1591
32417be6-49ab-46ac-bfd1-86a159ef6095,Concrete,"Concrete, PAV 1",1,m3,2385,2385, , , , ,300.5542574,0.126
