Building_Use_Type,Building_Use_Subtype,Continent,Building_Project_Type,Gross_Floor_Area_m2,Floors_Above_Ground,Total_Embodied_Carbon_PER_m2
0,3,2,0,69677.5,25.0,345.82
0,9,1,0,13935.5,3.5,344.79
0,8,4,0,6968.0,3.5,344.24
1,7,4,0,92903.0,25.0,343.97
1,7,4,0,32516.0,25.0,341.67
1,7,1,0,69677.5,25.0,337.64
0,9,1,0,32516.0,3.5,336.78
0,8,4,0,32516.0,25.0,334.13
0,0,4,0,32516.0,25.0,333.84
0,9,1,0,32516.0,3.5,333.82
0,8,1,0,13935.5,10.5,330.38
1,7,4,0,32516.0,20.0,329.21
0,9,1,0,13935.5,3.5,320.76
0,8,4,0,69677.5,25.0,317.23
0,11,1,0,32516.0,3.5,314.93
0,8,4,0,92903.0,25.0,314.44
0,8,4,0,69677.5,25.0,313.63
1,7,5,0,32516.0,20.0,310.47
0,8,4,0,69677.5,20.0,310.4
0,8,4,0,32516.0,10.5,309.79
1,7,2,0,69677.5,20.0,308.56
0,3,4,0,32516.0,10.5,308.43
0,8,4,0,92903.0,25.0,308.32
0,3,4,0,32516.0,10.5,300.12
1,7,4,0,13935.5,10.5,299.21
1,7,4,0,69677.5,25.0,296.6
0,8,4,0,32516.0,20.0,293.19
0,9,4,0,69677.5,3.5,290.0
0,9,1,0,3484.5,3.5,287.36
1,7,2,0,13935.5,10.5,284.02
0,8,2,0,69677.5,10.5,283.83
0,8,3,0,13935.5,10.5,277.61
0,9,4,0,69677.5,3.5,277.15
0,9,4,0,3484.5,3.5,272.6
0,9,4,0,32516.0,3.5,270.4
0,8,4,0,92903.0,10.5,254.88
1,7,4,0,32516.0,10.5,250.26
0,8,4,0,69677.5,10.5,248.17
0,8,4,0,6968.0,3.5,246.64
0,0,1,0,32516.0,3.5,245.4
0,11,4,0,32516.0,3.5,244.25
0,8,4,0,69677.5,25.0,242.93
0,9,1,0,13935.5,3.5,242.18
0,9,4,0,13935.5,3.5,234.87
0,0,4,0,13935.5,3.5,233.81
0,9,4,0,32516.0,10.5,225.27
0,8,1,0,13935.5,3.5,217.14
0,8,4,0,13935.5,10.5,215.95
0,8,4,0,32516.0,3.5,212.57
0,8,2,0,32516.0,10.5,212.04
0,8,4,0,13935.5,3.5,182.17
0,8,4,0,32516.0,20.0,180.02
0,9,4,0,13935.5,10.5,165.08
0,8,4,0,69677.5,3.5,129.03
0,8,1,0,32516.0,10.5,125.47
0,13,2,0,69677.5,3.5,793.88
0,0,2,0,1626.5,3.5,729.61
0,8,2,0,6968.0,3.5,700.0
0,8,2,1,3484.5,10.5,672.05
1,10,2,0,3484.5,10.5,668.33
1,10,2,0,279.5,10.5,664.6
0,0,2,0,13935.5,10.5,660.88
0,8,2,0,6968.0,10.5,657.15
0,4,2,0,13935.5,10.5,653.43
1,10,2,0,32516.0,10.5,649.71
0,8,2,0,69677.5,10.5,645.98
0,8,2,0,69677.5,10.5,642.26
0,5,2,0,32516.0,3.5,640.75
0,5,2,0,32516.0,10.5,638.53
0,0,2,0,1626.5,10.5,634.81
0,0,2,0,3484.5,10.5,631.08
0,13,2,0,69677.5,10.5,627.36
1,10,2,0,3484.5,10.5,623.64
1,10,2,1,3484.5,10.5,619.91
0,8,2,0,46498.0,10.5,616.19
0,8,2,0,46498.0,10.5,612.46
0,8,2,0,46498.0,10.5,608.74
0,8,2,0,46498.0,10.5,605.01
0,8,2,0,46498.0,10.5,601.29
0,8,2,0,46498.0,10.5,597.57
0,12,2,0,32516.0,10.5,597.0
0,8,2,0,46498.0,10.5,593.84
0,8,2,0,46498.0,10.5,590.12
0,12,2,0,32516.0,10.5,586.39
0,5,2,0,32516.0,10.5,582.67
0,5,2,0,32516.0,10.5,578.95
0,5,2,0,32516.0,10.5,575.22
0,5,2,0,32516.0,10.5,571.5
0,5,2,0,32516.0,10.5,567.77
0,8,2,1,3484.5,10.5,564.05
1,10,2,0,3484.5,10.5,560.32
1,10,2,0,279.5,10.5,556.6
0,0,2,0,13935.5,10.5,552.88
