Building_Use_Type,Building_Use_Subtype,Continent,Country,Gross_Floor_Area_m2,Total_Users,Floors_Above_Ground,Floors_Below_Ground,Structure_Type,Total_Embodied_Carbon_PER_m2
0,6,1,7,17500.5,317.716271289142,7.181117098760179,0.4954525026304752,7,521.0
0,6,1,7,17500.5,317.716271289142,7.181117098760179,0.4954525026304752,7,414.49999999999994
0,6,1,7,9819.0,203.40675415822776,5.266764626202487,0.3822194107742967,7,430.99999999999994
0,6,1,7,19518.0,347.7389818029245,7.683910317973243,0.5251924964884249,7,422.99999999999994
1,4,1,7,12500.5,243.31054510876427,5.935037249409341,0.42174743730717995,7,355.99999999999994
1,4,1,7,12500.5,243.31054510876427,5.935037249409341,0.42174743730717995,7,376.50000000000006
1,4,1,7,12500.5,243.31054510876427,5.935037249409341,0.42174743730717995,7,404.5
1,4,1,7,12500.5,243.31054510876427,5.935037249409341,0.42174743730717995,7,408.0
1,4,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,401.99999999999994
1,4,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,480.0
1,4,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,255.49999999999997
1,4,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,453.5
1,4,1,7,20174.0,357.50101307779005,7.847395994208073,0.5348626010588413,7,391.5
1,4,1,7,2592.0,95.86071753710968,3.4656808119507847,0.2756861093560056,7,479.0
1,4,1,7,2592.0,95.86071753710968,3.4656808119507847,0.2756861093560056,7,459.0
1,11,1,7,146.0,59.46143628966885,2.8560985496483546,0.23962959139984957,7,403.5
1,11,1,7,136.0,59.31262483730811,2.853606389949653,0.239482181269203,7,431.49999999999994
1,11,1,7,163.0,59.71441575868215,2.8603352211361472,0.2398801886219488,7,414.49999999999994
1,11,1,7,141.0,59.38703056348848,2.8548524697990034,0.2395558863345263,7,452.99999999999994
1,11,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,293.0
1,11,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,535.5
1,11,1,7,181.0,59.982276372931494,2.86482110859381,0.2401455268571126,7,342.0
1,11,1,7,118.0,59.044764223058735,2.8491205024919894,0.23921684303403912,7,521.5
1,11,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,434.0
1,11,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,524.5
1,11,1,7,148.0,59.491198580141,2.856596981588095,0.2396590734259789,7,412.0
0,5,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,387.0
0,5,1,7,42500.5,689.7449021910306,13.41151634551437,0.8639778292469517,7,349.5
0,5,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,428.5
0,5,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,417.0
0,5,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,451.49999999999994
0,5,1,7,17500.5,317.716271289142,7.181117098760179,0.4954525026304752,7,326.0
0,5,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,516.5
0,5,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,553.5
0,5,1,7,12500.5,243.31054510876427,5.935037249409341,0.42174743730717995,7,383.0
0,5,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,486.49999999999994
0,5,1,7,27500.5,466.52772364989755,9.673276797461856,0.6428626332770659,7,265.5
0,5,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,362.5
0,5,1,7,12500.5,243.31054510876427,5.935037249409341,0.42174743730717995,7,323.50000000000006
0,5,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,421.5
0,5,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,393.49999999999994
0,5,1,7,12944.0,249.91033302096375,6.04556453204676,0.4282850766013562,7,358.0
0,5,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,449.0
0,5,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,468.0
0,5,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,428.49999999999994
0,5,1,7,12500.5,243.31054510876427,5.935037249409341,0.42174743730717995,7,412.0
0,5,1,7,17500.5,317.716271289142,7.181117098760179,0.4954525026304752,7,406.49999999999994
0,5,1,7,7500.5,168.9048189283865,4.688957400058502,0.34804237198388466,7,337.5
1,8,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,378.0
1,8,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,464.00000000000006
1,8,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,416.0
1,8,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,607.0
1,8,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,602.5
1,8,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,295.5
1,8,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,334.0
1,8,1,7,3858.0,114.70024740598132,3.781188229806417,0.294348231895864,7,433.0
1,8,1,7,4190.0,119.64078762435838,3.863927931803312,0.2992422482333308,7,363.5
1,8,1,7,2683.0,97.21490175359253,3.48835946520897,0.2770275415448896,7,332.0
1,8,1,7,2457.0,93.85176293023946,3.432036656018312,0.2736960725922767,7,440.00000000000006
1,8,1,7,2500.5,94.49909274800876,3.4428775507076645,0.2743373066605893,7,467.0
1,4,1,7,12520.0,306.0077597404471,6.0,1.0,5,583.1999999999999
0,5,1,7,5083.0,240.45546266468912,5.0,1.0,5,580.0
0,5,1,7,25067.0,349.91740288937365,6.0,1.0,5,702.4000000000001
1,4,1,7,3700.0,275.1411738973345,6.0,1.0,5,598.4000000000001
1,4,1,7,4246.0,316.5776384283206,7.0,1.0,5,489.5999999999999
